Position,Nom,Artiste,Album,Année,Genre,Durée,Lectures
1,Alewife,Clairo,Immunity,2019,Alternative,0:03:33,375
2,Opalite,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:55,108
3,"I Knew It, I Knew You (From ""Toy Story 5"")",Taylor Swift,"I Knew It, I Knew You (From ""Toy Story 5"") - Single",2026,Country,0:02:58,
4,Don't Know What To Do,BLACKPINK,KILL THIS LOVE - EP,2019,K-Pop,0:03:21,79
5,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:17,137
6,Có Em Là Nhà,MIN,Dear Min,2025,Pop,0:04:10,65
7,Goodbye Goodmorning,Leigh-Anne,My Ego Told Me To,2026,Pop,0:03:24,62
8,Sexistential,Robyn,Sexistential,2026,Pop,0:02:20,54
9,Never Getting Laid,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:28,49
10,Letter to God (1998),Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:02:49,19
11,Goodbye,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:45,25
12,ÁM ẢNH VỀ ANH,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:01,41
13,HÃY NÓI ANH SAI RỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:07,
14,decode,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:08,58
15,Fire,Alessia Cara,Love & Hyperbole,2025,Pop,0:03:45,47
16,White Feather Hawk Tail Deer Hunter,Lana Del Rey,White Feather Hawk Tail Deer Hunter - Single,2026,Country,0:03:54,44
17,Relationships,HAIM,I quit,2025,Alternative,0:03:22,37
18,ANH LÀ THẰNG TỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:20,41
19,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:46,88
20,Dying for You,Charli xcx,Wuthering Heights,2026,Pop,0:03:02,35
21,Teenage Dream,Katy Perry,Teenage Dream: The Complete Confection,2010,Pop,0:03:47,65
22,Vicious,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:29,48
23,Times Like These,Addison Rae,Addison,2025,Pop,0:03:52,55
24,Fast,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:01,20
25,Low Rise Jeans,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:03:26,30
26,Signs,Tate McRae,So Close To What,2025,Pop,0:02:53,33
27,get him back!,Olivia Rodrigo,GUTS (spilled),2023,Pop,0:03:31,60
28,Confetti,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:38,35
29,Sweet Fortune,Ryan Beatty,Sweet Fortune,2026,Pop,0:02:56,33
30,ƯỚC ANH TAN NÁT CON TIM,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI (MỞ RỘNG),2024,Indie Pop,0:03:50,19
31,KHÓC BLÓCK,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI (MỞ RỘNG),2025,Indie Pop,0:02:57,20
32,I Will Always Love You,Dolly Parton,Jolene,1974,Country,0:02:57,47
33,Shlut,Shygirl,Nymph,2022,Electronica,0:02:12,32
34,Too Easy,Tinashe,Too Easy - Single,2026,Pop,0:01:54,
35,GIẢ VỜ,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI (MỞ RỘNG),2026,Indie Pop,0:04:13,20
36,The End,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:17,24
37,Before I Knew You,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:56,30
38,Jolene,Dolly Parton,Jolene,1973,Country,0:02:43,61
39,The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:05,77
40,My Mouth Is Lonely For You (from Mother Mary),Anne Hathaway,Mother Mary: Greatest Hits,2026,Pop,0:04:04,26
41,ĐIỀU EM KHÔNG MUỐN,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI (MỞ RỘNG),2025,Indie Pop,0:03:45,20
42,If She Could See Me Now,Lorde,Virgin,2025,Pop,0:02:56,44
43,GRIEF IS THE PRICE YOU PAY FOR LOVE,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI (MỞ RỘNG),2025,Indie Pop,0:02:42,20
44,Don’t Worry I’ll Make You Worry,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:42,36
45,Hit the Wall,Gracie Abrams,Daughter from Hell,2026,Pop,0:03:14,29
46,15 Minutes,Sabrina Carpenter,Short n' Sweet (Deluxe),2024,Pop,0:03:11,41
47,New York,Addison Rae,Addison,2025,Pop,0:02:32,91
48,Kiss,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:19,20
49,Western Nights,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:06:05,42
50,9 to 5,Dolly Parton,9 to 5 and Odd Jobs,1980,Country,0:02:46,27
51,yes baby,Madison Beer,locket,2025,Pop,0:02:55,40
52,Let You Go,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:03,16
53,Fast Times,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:54,26
54,Only Living Girl in LA,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:06:14,21
55,Tim McGraw,Taylor Swift,Taylor Swift,2006,Country,0:03:54,95
56,Jenny from the Block (feat. Jadakiss & Styles P) [Track Masters Remix],Jennifer Lopez,This Is Me...Then,2002,Pop,0:03:07,35
57,Lucid,Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:03:20,23
58,Ego,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:18,23
59,Sorry To Myself,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:25,21
60,Quá Muộn,MIN,Dear Min,2025,Pop,0:03:26,89
61,Sugar Talking,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:03,45
62,locket theme,Madison Beer,locket,2026,Pop,0:01:28,23
63,Down (feat. Lil Wayne),Jay Sean,All or Nothing (Bonus Track Version),2009,R&B/Soul,0:03:32,25
64,bad enough,Madison Beer,locket,2026,Pop,0:03:42,21
65,House Tour,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:49,57
66,Tears,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:40,34
67,Little Bit,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:26,17
68,CÓ LẼ ANH KHÔNG YÊU TÔI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI (MỞ RỘNG),2026,Indie Pop,0:07:31,20
69,HẸN GẶP LẠI ANH Ở MỘT KHUNG TRỜI KHÁC,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI (MỞ RỘNG),2026,Indie Pop,0:04:17,21
70,Lessons,Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:03:46,19
71,HIỆN THỰC PHŨ PHÀNG,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI (MỞ RỘNG),2025,Indie Pop,0:03:23,21
72,Frequency,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:43,15
73,LINH CẢM,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI (MỞ RỘNG),2025,Indie Pop,0:04:09,20
74,Afraid of the Dark (Demo),Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:04:17,20
75,Casual,Chappell Roan,The Rise and Fall of a Midwest Princess,2022,Pop,0:03:52,58
76,Panic Attack,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:36,20
77,Sirens,Cher Lloyd,Sorry I'm Late,2014,Pop,0:03:55,43
78,PHẢI LÒNG CÔ ĐƠN,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI (MỞ RỘNG),2026,Indie Pop,0:03:32,21
79,On Wires,Carly Rae Jepsen,Day and Night,,Pop,0:03:22,22
80,I Really Like You,Carly Rae Jepsen,Emotion (10th Anniversary Edition),2015,Pop,0:03:24,33
81,Ojos Tristes,"Selena Gomez, benny blanco & The Marías",I Said I Love You First,2025,Pop,0:03:21,31
82,TÂM SỰ VỚI ĐÊM MỘT MÌNH,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI (MỞ RỘNG),2025,Indie Pop,0:02:56,20
83,When Did You Get Hot?,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:25,54
84,freak,Ariana Grande,petal,2026,Pop,0:03:19,
