Position,Nom,Artiste,Album,Année,Genre,Durée,Lectures
1,Alewife,Clairo,Immunity,2019,Alternative,0:03:33,375
2,Opalite,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:55,106
3,Don't Know What To Do,BLACKPINK,KILL THIS LOVE - EP,2019,K-Pop,0:03:21,75
4,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:17,136
5,Sexistential,Robyn,Sexistential,2026,Pop,0:02:20,53
6,Never Getting Laid,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:28,44
7,Goodbye,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:45,22
8,decode,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:08,53
9,Relationships,HAIM,I quit,2025,Alternative,0:03:22,32
10,White Feather Hawk Tail Deer Hunter,Lana Del Rey,White Feather Hawk Tail Deer Hunter - Single,2026,Country,0:03:54,38
11,Dying for You,Charli xcx,Wuthering Heights,2026,Pop,0:03:02,32
12,Times Like These,Addison Rae,Addison,2025,Pop,0:03:52,51
13,Vicious,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:29,42
14,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:46,79
15,Signs,Tate McRae,So Close To What,2025,Pop,0:02:53,25
16,New York,Addison Rae,Addison,2025,Pop,0:02:32,90
17,The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:05,74
18,Shlut,Shygirl,Nymph,2022,Electronica,0:02:12,27
19,My Mouth Is Lonely For You (from Mother Mary),Anne Hathaway,Mother Mary: Greatest Hits,2026,Pop,0:04:04,20
20,HÃY NÓI ANH SAI RỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:07,48
21,Confetti,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:38,25
