Position,Nom,Artiste,Album,Année,Genre,Durée,Lectures
1,Alewife,Clairo,Immunity,2019,Alternative,0:03:33,375
2,Opalite,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:55,108
3,Don't Know What To Do,BLACKPINK,KILL THIS LOVE - EP,2019,K-Pop,0:03:21,75
4,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:17,136
5,Sexistential,Robyn,Sexistential,2026,Pop,0:02:20,53
6,Never Getting Laid,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:28,45
7,Goodbye,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:45,22
8,decode,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:08,53
9,Relationships,HAIM,I quit,2025,Alternative,0:03:22,32
10,White Feather Hawk Tail Deer Hunter,Lana Del Rey,White Feather Hawk Tail Deer Hunter - Single,2026,Country,0:03:54,38
11,Dying for You,Charli xcx,Wuthering Heights,2026,Pop,0:03:02,32
12,Letter to God (1983),Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:01:53,11
13,Times Like These,Addison Rae,Addison,2025,Pop,0:03:52,51
14,Vicious,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:29,42
15,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:46,80
16,Signs,Tate McRae,So Close To What,2025,Pop,0:02:53,25
17,New York,Addison Rae,Addison,2025,Pop,0:02:32,90
18,The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:05,74
19,Shlut,Shygirl,Nymph,2022,Electronica,0:02:12,27
20,My Mouth Is Lonely For You (from Mother Mary),Anne Hathaway,Mother Mary: Greatest Hits,2026,Pop,0:04:04,20
21,HÃY NÓI ANH SAI RỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:07,48
22,Confetti,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:38,25
23,Western Nights,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:06:05,37
24,Fire,Alessia Cara,Love & Hyperbole,2025,Pop,0:03:45,22
25,Don’t Worry I’ll Make You Worry,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:42,31
26,ÁM ẢNH VỀ ANH,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:01,34
27,Let You Go,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:03,12
28,Quá Muộn,MIN,Dear Min,2025,Pop,0:03:26,86
29,Sugar Talking,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:03,42
30,Low Rise Jeans,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:03:26,19
31,Nobody’s Son,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:02,29
32,When Did You Get Hot?,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:25,51
33,locket theme,Madison Beer,locket,2026,Pop,0:01:28,18
34,Casual,Chappell Roan,The Rise and Fall of a Midwest Princess,2022,Pop,0:03:52,55
35,Sirens,Cher Lloyd,Sorry I'm Late,2014,Pop,0:03:55,40
36,The End,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:17,13
37,Little Bit,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:26,12
38,Down (feat. Lil Wayne),Jay Sean,All or Nothing (Bonus Track Version),2009,R&B/Soul,0:03:32,18
39,Manchild,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:33,15
40,bad enough,Madison Beer,locket,2026,Pop,0:03:42,14
41,House Tour,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:49,51
42,Fast,Demi Lovato,It’s Not That Deep,2025,Pop,0:03:01,
43,Quiet,Camila Cabello,Familia,2022,Pop,0:02:43,174
44,Tears,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:40,28
45,Ojos Tristes,"Selena Gomez, benny blanco & The Marías",I Said I Love You First,2025,Pop,0:03:21,26
46,Only Living Girl in LA,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:06:14,12
47,EM ĐAU,Phùng Khánh Linh & Thành Luke,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:05:00,29
48,Altars,Charli xcx,Wuthering Heights,2026,Pop,0:02:56,12
49,Tim McGraw,Taylor Swift,Taylor Swift,2006,Country,0:03:54,83
50,Goodbye Goodmorning,Leigh-Anne,My Ego Told Me To,2026,Pop,0:03:24,14
51,Sorry To Myself,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:25,12
52,Matilda,Harry Styles,Harry's House,2022,Pop,0:04:05,10
53,June Gloom,Camila Cabello,"C,XOXO (Magic City Edition)",2024,Pop,0:03:00,119
54,Sports car,Tate McRae,So Close To What,2025,Pop,0:02:45,28
55,Darwinism,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:45,13
56,Lessons,Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:03:46,12
57,Life of the Spider (Draft),Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:30,11
58,Ego,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:18,12
59,Go Go Juice,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:13,12
60,If She Could See Me Now,Lorde,Virgin,2025,Pop,0:02:56,28
61,Here All Night,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:56,13
62,Pretty Catatonic,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:48,13
63,Chains of Love,Charli xcx,Wuthering Heights,2025,Pop,0:02:50,8
64,I Ain't Worried,OneRepublic,Top Gun: Maverick (Music from the Motion Picture),2022,Pop,0:02:28,14
65,After Hours,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:25,14
66,Konichiwa Bitches,Robyn,Robyn,2005,Pop,0:02:38,12
67,Kiss,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:19,13
68,Andromeda,Weyes Blood,Titanic Rising,2019,Alternative,0:04:40,111
69,Arsonist,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:38,12
70,I Believe in Magic,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:48,11
71,I Never Loved You,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:09,11
72,Dog Years,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:03,12
73,Lonely is the Muse,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:00,12
74,Hurt Feelings,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:54,11
75,The Great Impersonator,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:22,11
76,Alice of the Upper Class,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:22,13
77,Lucid,Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:03:20,16
78,Heaven,Leigh-Anne,My Ego Told Me To,2026,Pop,0:03:04,13
79,Issues,Julia Michaels,Nervous System - EP,2017,Pop,0:02:56,42
80,Love Controller,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:59,12
81,Pink in the Night,Mitski,Be the Cowboy,2018,Indie Rock,0:02:16,39
82,Panic Attack,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:36,10
83,warm,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025,Pop,0:03:21,56
84,Lucky,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:16,12
85,Joshua Tree,Demi Lovato & Rose Gray,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:03:23,11
86,twilight zone,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025,Pop,0:03:18,54
87,The Middle,"Zedd, Maren Morris & Grey",The Middle - Single,2018,Dance,0:03:04,94
88,Fast,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:01,11
89,Midnight Sun,Zara Larsson,Midnight Sun: Girls Trip,2025,Pop,0:03:09,5
90,Afraid of the Dark (Demo),Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:04:17,11
91,Headlock,Imogen Heap,Speak for Yourself (Deluxe Version),2005,Pop,0:03:35,12
92,because i liked a boy,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:16,16
93,Been A Minute,Leigh-Anne,My Ego Told Me To,2025,Pop,0:03:20,8
