Position,Nom,Artiste,Album,Année,Genre,Durée,Lectures
1,Alewife,Clairo,Immunity,2019,Alternative,0:03:33,375
2,Opalite,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:55,108
3,Don't Know What To Do,BLACKPINK,KILL THIS LOVE - EP,2019,K-Pop,0:03:21,75
4,"I Knew It, I Knew You",Taylor Swift,"I Knew It, I Knew You - Single",2026,Country,0:02:58,
5,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:17,137
6,Sexistential,Robyn,Sexistential,2026,Pop,0:02:20,53
7,Never Getting Laid,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:28,46
8,Goodbye,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:45,23
9,decode,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:08,53
10,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:46,88
11,White Feather Hawk Tail Deer Hunter,Lana Del Rey,White Feather Hawk Tail Deer Hunter - Single,2026,Country,0:03:54,40
12,Relationships,HAIM,I quit,2025,Alternative,0:03:22,33
13,Letter to God (1983),Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:01:53,13
14,Dying for You,Charli xcx,Wuthering Heights,2026,Pop,0:03:02,32
15,Times Like These,Addison Rae,Addison,2025,Pop,0:03:52,52
16,Vicious,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:29,42
17,Fast,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:01,16
18,Signs,Tate McRae,So Close To What,2025,Pop,0:02:53,27
19,Shlut,Shygirl,Nymph,2022,Electronica,0:02:12,30
20,The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:05,76
21,Confetti,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:38,28
22,New York,Addison Rae,Addison,2025,Pop,0:02:32,90
23,HÃY NÓI ANH SAI RỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:07,50
24,Fire,Alessia Cara,Love & Hyperbole,2025,Pop,0:03:45,25
25,My Mouth Is Lonely For You (from Mother Mary),Anne Hathaway,Mother Mary: Greatest Hits,2026,Pop,0:04:04,21
26,Low Rise Jeans,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:03:26,24
27,15 Minutes,Sabrina Carpenter,Short n' Sweet (Deluxe),2024,Pop,0:03:11,37
28,ÁM ẢNH VỀ ANH,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:01,37
29,Fast Times,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:54,25
30,yes baby,Madison Beer,locket,2025,Pop,0:02:55,38
31,Kiss,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:19,15
32,Western Nights,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:06:05,37
33,Don’t Worry I’ll Make You Worry,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:42,32
34,The End,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:17,17
35,Let You Go,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:03,13
36,locket theme,Madison Beer,locket,2026,Pop,0:01:28,21
37,ANH LÀ THẰNG TỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:20,37
38,Quá Muộn,MIN,Dear Min,2025,Pop,0:03:26,86
39,Sugar Talking,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:03,42
40,Lucid,Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:03:20,19
41,Sorry To Myself,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:25,17
42,Jenny from the Block (feat. Jadakiss & Styles P) [Track Masters Remix],Jennifer Lopez,This Is Me...Then,2002,Pop,0:03:07,30
43,Nobody’s Son,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:02,30
44,Frequency,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:43,13
45,Casual,Chappell Roan,The Rise and Fall of a Midwest Princess,2022,Pop,0:03:52,56
46,Down (feat. Lil Wayne),Jay Sean,All or Nothing (Bonus Track Version),2009,R&B/Soul,0:03:32,21
47,Manchild,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:33,17
48,When Did You Get Hot?,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:25,51
49,Little Bit,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:26,13
50,Only Living Girl in LA,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:06:14,14
51,EM ĐAU,Phùng Khánh Linh & Thành Luke,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:05:00,31
52,Sirens,Cher Lloyd,Sorry I'm Late,2014,Pop,0:03:55,40
53,Ojos Tristes,"Selena Gomez, benny blanco & The Marías",I Said I Love You First,2025,Pop,0:03:21,28
54,bad enough,Madison Beer,locket,2026,Pop,0:03:42,16
55,vampire,Olivia Rodrigo,GUTS (spilled),2023,Pop,0:03:39,30
56,Life of the Spider (Draft),Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:30,15
57,House Tour,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:49,51
58,Quiet,Camila Cabello,Familia,2022,Pop,0:02:43,174
59,Tears,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:40,29
60,Too Easy,Tinashe,Too Easy - Single,2026,Pop,0:01:54,19
61,Arsonist,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:38,16
62,The Great Impersonator,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:22,15
63,Matilda,Harry Styles,Harry's House,2022,Pop,0:04:05,11
64,Here All Night,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:56,15
65,Altars,Charli xcx,Wuthering Heights,2026,Pop,0:02:56,13
66,I Never Loved You,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:09,14
67,Darwinism,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:45,14
68,Panic Attack,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:36,14
69,Lessons,Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:03:46,13
70,Ego,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:18,14
71,Lucky,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:16,14
72,Joshua Tree,Demi Lovato & Rose Gray,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:03:23,15
73,Go Go Juice,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:13,14
74,After Hours,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:25,16
75,I Believe in Magic,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:48,12
76,Dog Years,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:03,14
77,Tim McGraw,Taylor Swift,Taylor Swift,2006,Country,0:03:54,94
78,Alice of the Upper Class,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:22,15
79,Goodbye Goodmorning,Leigh-Anne,My Ego Told Me To,2026,Pop,0:03:24,14
80,Issues,Julia Michaels,Nervous System - EP,2017,Pop,0:02:56,44
81,June Gloom,Camila Cabello,"C,XOXO (Magic City Edition)",2024,Pop,0:03:00,119
82,If She Could See Me Now,Lorde,Virgin,2025,Pop,0:02:56,29
83,Love Controller,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:59,14
84,Pretty Catatonic,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:48,14
85,Chains of Love,Charli xcx,Wuthering Heights,2025,Pop,0:02:50,9
86,Sports car,Tate McRae,So Close To What,2025,Pop,0:02:45,28
87,Pink in the Night,Mitski,Be the Cowboy,2018,Indie Rock,0:02:16,41
88,Afraid of the Dark (Demo),Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:04:17,14
89,Lonely is the Muse,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:00,13
90,Hurt Feelings,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:54,12
91,Bring Your Love,Madonna & Sabrina Carpenter,CONFESSIONS II,2026,Pop,0:03:36,14
92,drop dead,Olivia Rodrigo,you seem pretty sad for a girl so in love,2026,Pop,0:03:44,12
