Position,Nom,Artiste,Album,Année,Genre,Durée,Lectures
22,Sirens,Cher Lloyd,Sorry I'm Late,2014,Pop,0:03:55,40
23,bad enough,Madison Beer,locket,2026,Pop,0:03:42,13
24,locket theme,Madison Beer,locket,2026,Pop,0:01:28,17
25,Quiet,Camila Cabello,Familia,2022,Pop,0:02:43,173
26,EM ĐAU,Phùng Khánh Linh & Thành Luke,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:05:00,28
27,iloveitiloveitiloveit,Bella Kay,iloveitiloveitiloveit - Single,2026,Alternative,0:03:03,
28,Altars,Charli xcx,Wuthering Heights,2026,Pop,0:02:56,12
29,Down (feat. Lil Wayne),Jay Sean,All or Nothing (Bonus Track Version),2009,R&B/Soul,0:03:32,14
30,Ojos Tristes,"Selena Gomez, benny blanco & The Marías",I Said I Love You First,2025,Pop,0:03:21,24
31,Matilda,Harry Styles,Harry's House,2022,Pop,0:04:05,8
32,June Gloom,Camila Cabello,"C,XOXO (Magic City Edition)",2024,Pop,0:03:00,119
33,Tim McGraw,Taylor Swift,Taylor Swift,2006,Country,0:03:54,81
34,Never Getting Laid,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:28,30
35,If She Could See Me Now,Lorde,Virgin,2025,Pop,0:02:56,28
36,Pink in the Night,Mitski,Be the Cowboy,2018,Indie Rock,0:02:16,39
37,Goodbye Goodmorning,Leigh-Anne,My Ego Told Me To,2026,Pop,0:03:24,11
38,The Middle,"Zedd, Maren Morris & Grey",The Middle - Single,2018,Dance,0:03:04,94
39,Chains of Love,Charli xcx,Wuthering Heights,2025,Pop,0:02:50,7
40,I Ain't Worried,OneRepublic,Top Gun: Maverick (Music from the Motion Picture),2022,Pop,0:02:28,12
41,Konichiwa Bitches,Robyn,Robyn,2005,Pop,0:02:38,10
42,Heaven,Leigh-Anne,My Ego Told Me To,2026,Pop,0:03:04,11
43,Fast,Demi Lovato,It’s Not That Deep,2025,Pop,0:03:01,
44,Wood,Taylor Swift,The Life of a Showgirl,2025,Pop,0:02:30,68
45,warm,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025,Pop,0:03:21,54
46,Wi$h Li$t,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:27,68
47,Current Affairs,Lorde,Virgin,2025,Pop,0:03:18,99
48,twilight zone,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025,Pop,0:03:18,52
49,FREE,Leigh-Anne,My Ego Told Me To,2026,Pop,0:02:48,8
50,Wasabi,Little Mix,LM5 (Deluxe),2018,Pop,0:02:34,73
51,GIẢ VỜ,Phùng Khánh Linh,GIẢ VỜ - Single,2026,Indie Pop,0:04:13,8
52,stay a little longer,ROSÉ,rosie,2024,Pop,0:04:06,20
53,Baby (feat. Ludacris),Justin Bieber,My World 2.0 (Bonus Track Version),2010,Pop,0:03:34,43
54,HIỆN THỰC PHŨ PHÀNG,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:23,43
55,Headlock,Imogen Heap,Speak for Yourself (Deluxe Version),2005,Pop,0:03:35,10
56,Don’t Worry I’ll Make You Worry,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:42,17
57,Talk To Me,Robyn,Sexistential,2026,Pop,0:03:19,5
58,Món Quà,Văn Mai Hương,Giai Nhân,2025,Pop,0:03:39,10
59,BLUE,Billie Eilish,HIT ME HARD AND SOFT,2024,Alternative,0:05:43,47
60,All On You,Jessie Ware,Tough Love (Deluxe Version),2014,Pop,0:05:13,29
61,Lights Off,Jay Sean,All or Nothing (Bonus Track Version),2009,R&B/Soul,0:04:12,47
62,All Apologies,Nirvana,In Utero (20th Anniversary Edition),1993,Alternative,0:03:56,24
63,Eldest Daughter,Taylor Swift,The Life of a Showgirl,2025,Pop,0:04:06,54
64,ƯỚC ANH TAN NÁT CON TIM,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2024,Indie Pop,0:03:50,20
65,GO,BLACKPINK,DEADLINE - EP,2026,K-Pop,0:03:15,7
66,because i liked a boy,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:16,13
67,Please Please Please,Sabrina Carpenter,Short n' Sweet (Deluxe),2024,Pop,0:03:06,12
68,Firework,Katy Perry,Teenage Dream: The Complete Confection,2010,Pop,0:03:47,27
69,Been A Minute,Leigh-Anne,My Ego Told Me To,2025,Pop,0:03:20,5
70,Dead and Gone,Leigh-Anne,My Ego Told Me To,2025,Pop,0:02:40,8
71,Fast Times,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:54,8
72,run for the hills,Tate McRae,THINK LATER,2023,Pop,0:02:23,13
73,I Will Overcome.,RAYE,THIS MUSIC MAY CONTAIN HOPE.,2026,Pop,0:04:54,6
74,chẳng phải tình đầu sao đau đến thế,"MIN, Dangrangto & antransax",Dear Min,2025,Pop,0:04:43,55
75,"Henry, come on",Lana Del Rey,"Henry, come on - Single",2025,Alternative,0:05:11,93
76,I Will Always Love You,Whitney Houston,The Bodyguard (Original Soundtrack Album),1992,Soundtrack,0:04:31,15
77,LINH CẢM,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:04:09,20
78,Ướt Lòng,Văn Mai Hương,Giai Nhân,2025,Pop,0:04:39,9
79,phải viết bao nhiêu bản tình ca,MIN,Dear Min,2025,Pop,0:04:09,21
80,mùa hè 1994 (summer 1994),Phùng Khánh Linh,CITOPIA,2022,Pop,0:03:26,45
81,No Surprises,Radiohead,OK Computer,1997,Alternative,0:03:49,11
82,Me Minus U,Leigh-Anne,My Ego Told Me To,2026,Pop,0:03:00,7
83,Bends,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:03:15,146
84,Frozen,JADE,THAT'S SHOWBIZ BABY! THE ENCORE,2025,Pop,0:03:21,5
85,Best Version of Me,Leigh-Anne,My Ego Told Me To,2026,Pop,0:02:47,7
86,Headache,JADE,THAT'S SHOWBIZ BABY! THE ENCORE,2025,Pop,0:02:44,11
87,Crazier,Taylor Swift,Hannah Montana: The Movie (Original Motion Picture Soundtrack),2009,Soundtrack,0:03:11,47
88,Every Night,Josef Salvat,Night Swim (Deluxe),2013,Pop,0:03:43,31
89,JOLENE,Beyoncé,COWBOY CARTER,2024,Country,0:03:09,11
90,Talk to me nice,Leigh-Anne,My Ego Told Me To,2026,Pop,0:02:48,6
91,Use Me,JADE,THAT'S SHOWBIZ BABY! THE ENCORE,2025,Pop,0:03:18,9
92,Play Destroy (feat. Grimes),Poppy,Am I a Girl?,2018,Pop,0:03:05,7
93,Man Of The Year,Lorde,Virgin,2025,Pop,0:03:00,20
94,Rush,Troye Sivan,Something To Give Each Other,2023,Pop,0:02:36,33
95,Sports car,Tate McRae,So Close To What,2025,Pop,0:02:45,20
96,Let You Go,Demi Lovato,It’s Not That Deep,2025,Pop,0:03:03,
97,Frozen,Madonna,Ray of Light,1998,Pop,0:06:07,12
98,Dust Bowl,Ethel Cain,"Willoughby Tucker, I'll Always Love You",2025,Alternative,0:06:26,7
99,Hung Up,Madonna,Confessions on a Dance Floor,2005,Pop,0:05:37,27
100,Bullet Proof Soul,Sade,Love Deluxe,1992,R&B/Soul,0:05:24,8
