Position,Nom,Artiste,Album,Année,Genre,Durée,Lectures
1,Alewife,Clairo,Immunity,2019,Alternative,0:03:33,375
2,Opalite,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:55,108
3,"I Knew It, I Knew You (From ""Toy Story 5"")",Taylor Swift,"I Knew It, I Knew You (From ""Toy Story 5"") - Single",2026,Country,0:02:58,
4,Don't Know What To Do,BLACKPINK,KILL THIS LOVE - EP,2019,K-Pop,0:03:21,75
5,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:17,137
6,Có Em Là Nhà,MIN,Dear Min,2025,Pop,0:04:10,60
7,Sexistential,Robyn,Sexistential,2026,Pop,0:02:20,53
8,Never Getting Laid,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:28,47
9,Goodbye,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:45,25
10,decode,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:08,53
11,Letter to God (1998),Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:02:49,15
12,White Feather Hawk Tail Deer Hunter,Lana Del Rey,White Feather Hawk Tail Deer Hunter - Single,2026,Country,0:03:54,42
13,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:46,88
14,Relationships,HAIM,I quit,2025,Alternative,0:03:22,34
15,Fire,Alessia Cara,Love & Hyperbole,2025,Pop,0:03:45,40
16,Dying for You,Charli xcx,Wuthering Heights,2026,Pop,0:03:02,32
17,Times Like These,Addison Rae,Addison,2025,Pop,0:03:52,53
18,Vicious,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:29,43
19,Fast,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:01,17
20,Signs,Tate McRae,So Close To What,2025,Pop,0:02:53,31
21,Low Rise Jeans,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:03:26,25
22,Shlut,Shygirl,Nymph,2022,Electronica,0:02:12,31
23,The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:05,77
24,The End,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:17,21
25,Confetti,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:38,28
26,New York,Addison Rae,Addison,2025,Pop,0:02:32,90
27,If She Could See Me Now,Lorde,Virgin,2025,Pop,0:02:56,41
28,ÁM ẢNH VỀ ANH,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:01,39
29,HÃY NÓI ANH SAI RỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:07,50
30,My Mouth Is Lonely For You (from Mother Mary),Anne Hathaway,Mother Mary: Greatest Hits,2026,Pop,0:04:04,21
31,15 Minutes,Sabrina Carpenter,Short n' Sweet (Deluxe),2024,Pop,0:03:11,38
32,Tim McGraw,Taylor Swift,Taylor Swift,2006,Country,0:03:54,94
33,Don’t Worry I’ll Make You Worry,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:42,32
34,yes baby,Madison Beer,locket,2025,Pop,0:02:55,39
35,Fast Times,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:54,25
36,Western Nights,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:06:05,38
37,Hit the Wall,Gracie Abrams,Daughter from Hell,2026,Pop,0:03:14,24
38,Quá Muộn,MIN,Dear Min,2025,Pop,0:03:26,89
39,Kiss,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:19,16
40,Let You Go,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:03,13
41,Sugar Talking,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:03,43
42,locket theme,Madison Beer,locket,2026,Pop,0:01:28,21
43,ANH LÀ THẰNG TỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:20,37
44,Lucid,Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:03:20,20
45,Sorry To Myself,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:25,18
46,Jenny from the Block (feat. Jadakiss & Styles P) [Track Masters Remix],Jennifer Lopez,This Is Me...Then,2002,Pop,0:03:07,32
47,Only Living Girl in LA,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:06:14,16
48,Lessons,Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:03:46,17
49,bad enough,Madison Beer,locket,2026,Pop,0:03:42,18
50,Nobody’s Son,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:02,30
51,Frequency,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:43,13
52,When Did You Get Hot?,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:25,52
53,Casual,Chappell Roan,The Rise and Fall of a Midwest Princess,2022,Pop,0:03:52,57
54,Down (feat. Lil Wayne),Jay Sean,All or Nothing (Bonus Track Version),2009,R&B/Soul,0:03:32,22
55,Life of the Spider (Draft),Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:30,17
56,Manchild,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:33,17
57,Tears,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:40,31
58,Little Bit,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:26,13
59,EM ĐAU,Phùng Khánh Linh & Thành Luke,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:05:00,31
60,Arsonist,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:38,18
61,Sirens,Cher Lloyd,Sorry I'm Late,2014,Pop,0:03:55,40
62,The Great Impersonator,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:22,17
63,I Really Like You,Carly Rae Jepsen,Emotion (10th Anniversary Edition),2015,Pop,0:03:24,31
64,Ojos Tristes,"Selena Gomez, benny blanco & The Marías",I Said I Love You First,2025,Pop,0:03:21,28
65,Ego,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:18,17
66,House Tour,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:49,52
67,Too Easy,Tinashe,Too Easy - Single,2026,Pop,0:01:54,20
68,vampire,Olivia Rodrigo,GUTS (spilled),2023,Pop,0:03:39,30
69,Quiet,Camila Cabello,Familia,2022,Pop,0:02:43,174
70,Altars,Charli xcx,Wuthering Heights,2026,Pop,0:02:56,14
71,Sports car,Tate McRae,So Close To What,2025,Pop,0:02:45,31
72,I Believe in Magic,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:48,15
73,I Never Loved You,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:09,15
74,Dog Years,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:03,16
75,Afraid of the Dark (Demo),Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:04:17,16
76,Darwinism,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:45,15
77,Panic Attack,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:36,15
78,Alice of the Upper Class,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:22,17
79,Lucky,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:16,15
80,Joshua Tree,Demi Lovato & Rose Gray,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:03:23,15
81,Matilda,Harry Styles,Harry's House,2022,Pop,0:04:05,11
82,Go Go Juice,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:13,15
83,Issues,Julia Michaels,Nervous System - EP,2017,Pop,0:02:56,46
84,Here All Night,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:56,15
85,Hurt Feelings,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:54,14
86,drop dead,Olivia Rodrigo,you seem pretty sad for a girl so in love,2026,Pop,0:03:44,15
87,After Hours,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:25,16
88,Pink in the Night,Mitski,Be the Cowboy,2018,Indie Rock,0:02:16,42
89,Lonely is the Muse,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:00,14
90,Bring Your Love,Madonna & Sabrina Carpenter,CONFESSIONS II,2026,Pop,0:03:42,15
91,Goodbye Goodmorning,Leigh-Anne,My Ego Told Me To,2026,Pop,0:03:24,15
92,June Gloom,Camila Cabello,"C,XOXO (Magic City Edition)",2024,Pop,0:03:00,119
