Position,Nom,Artiste,Album,Année,Genre,Durée,Lectures
1,Alewife,Clairo,Immunity,2019,Alternative,0:03:33,374
2,Opalite,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:55,105
3,Sexistential,Robyn,Sexistential,2026,Pop,0:02:20,53
4,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:17,121
5,Relationships,HAIM,I quit,2025,Alternative,0:03:22,32
6,decode,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:08,47
7,Times Like These,Addison Rae,Addison,2025,Pop,0:03:52,50
8,New York,Addison Rae,Addison,2025,Pop,0:02:32,90
9,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:46,77
10,Western Nights,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:06:05,36
11,ÁM ẢNH VỀ ANH,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:01,34
12,Casual,Chappell Roan,The Rise and Fall of a Midwest Princess,2022,Pop,0:03:52,55
13,Sirens,Cher Lloyd,Sorry I'm Late,2014,Pop,0:03:55,39
14,locket theme,Madison Beer,locket,2026,Pop,0:01:28,17
15,Quá Muộn,MIN,Dear Min,2025,Pop,0:03:26,85
16,Quiet,Camila Cabello,Familia,2022,Pop,0:02:43,173
17,EM ĐAU,Phùng Khánh Linh & Thành Luke,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:05:00,28
18,HÃY NÓI ANH SAI RỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:07,38
19,Ojos Tristes,"Selena Gomez, benny blanco & The Marías",I Said I Love You First,2025,Pop,0:03:21,24
20,If She Could See Me Now,Lorde,Virgin,2025,Pop,0:02:56,27
21,I Ain't Worried,OneRepublic,Top Gun: Maverick (Music from the Motion Picture),2022,Pop,0:02:28,12
22,Tim McGraw,Taylor Swift,Taylor Swift,2006,Country,0:03:54,79
23,Konichiwa Bitches,Robyn,Robyn,2005,Pop,0:02:38,9
24,Shlut,Shygirl,Nymph,2022,Electronica,0:02:12,24
25,Never Getting Laid,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:28,26
26,warm,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025,Pop,0:03:21,54
27,Current Affairs,Lorde,Virgin,2025,Pop,0:03:18,99
28,twilight zone,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025,Pop,0:03:18,49
29,Matilda,Harry Styles,Harry's House,2022,Pop,0:04:05,6
30,Wood,Taylor Swift,The Life of a Showgirl,2025,Pop,0:02:30,66
31,All On You,Jessie Ware,Tough Love (Deluxe Version),2014,Pop,0:05:13,29
32,stay a little longer,ROSÉ,rosie,2024,Pop,0:04:06,19
33,because i liked a boy,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:16,13
34,Fast,Demi Lovato,It’s Not That Deep,2025,Pop,0:03:01,34
35,run for the hills,Tate McRae,THINK LATER,2023,Pop,0:02:23,11
36,I Will Always Love You,Whitney Houston,The Bodyguard (Original Soundtrack Album),1992,Soundtrack,0:04:31,14
37,You’re Losing Me (From The Vault),Taylor Swift,You're Losing Me (From The Vault) - Single,2023,Pop,0:04:37,35
38,Ướt Lòng,Văn Mai Hương,Giai Nhân,2025,Pop,0:04:39,8
39,Blue Moon,Zara Larsson,Midnight Sun,2025,Pop,0:03:02,15
40,Món Quà,Văn Mai Hương,Giai Nhân,2025,Pop,0:03:39,8
41,Adore You,Jessie Ware,What's Your Pleasure? (The Platinum Pleasure Edition),2019,Pop,0:03:45,95
42,cardigan,Taylor Swift,folklore,2020,Alternative,0:03:59,3
43,Killah,Lady Gaga & Gesaffelstein,MAYHEM,2025,Pop,0:03:30,23
44,Talk To Me,Robyn,Sexistential,2026,Pop,0:03:19,1
45,Lost In Devotion,Carly Rae Jepsen,Emotion (10th Anniversary Edition),2025,Pop,0:03:14,109
46,Dust Bowl,Ethel Cain,"Willoughby Tucker, I'll Always Love You",2025,Alternative,0:06:26,5
47,Ray of Light,Madonna,Ray of Light,1998,Pop,0:05:22,4
48,Haunted,Beyoncé,BEYONCÉ (Platinum Edition),2013,Pop,0:06:09,8
49,LINH CẢM,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:04:09,17
50,ƯỚC ANH TAN NÁT CON TIM,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2024,Indie Pop,0:03:50,17
51,ĐIỀU EM KHÔNG MUỐN,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:45,42
52,Ruin The Friendship,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:40,54
53,Vùng Xám,Văn Mai Hương & GREY D,Giai Nhân,2025,Pop,0:03:33,7
54,Damn Right,"JENNIE, Childish Gambino & Kali Uchis",Ruby,2025,Pop,0:03:50,14
55,ANH LÀ THẰNG TỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:20,19
56,năm ngoái giờ này (after all),Phùng Khánh Linh,CITOPIA,2022,Pop,0:03:26,18
57,invisible string,Taylor Swift,folklore (deluxe version),2020,Alternative,0:04:12,34
58,Nhạc Tình,Văn Mai Hương & HURRYKNG,Giai Nhân,2025,Pop,0:03:57,7
59,KHÓC BLÓCK,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:02:57,17
60,All The Things She Said,t.A.T.u.,200 KM/H In The Wrong Lane (10th Anniversary Edition),2002,Pop,0:03:34,3
61,GRIEF IS THE PRICE YOU PAY FOR LOVE,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:02:42,17
62,Favourite Colour,Carly Rae Jepsen,Emotion (10th Anniversary Edition),2015,Pop,0:03:29,
63,Fame is a Gun,Addison Rae,Addison,2025,Pop,0:03:03,26
64,Chains of Love,Charli xcx,Wuthering Heights,2025,Pop,0:02:50,2
65,Like That,Victoria Beckham,Victoria Beckham,2001,Pop,0:04:01,
66,When Did You Get Hot?,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:25,36
