Position,Nom,Artiste,Album,Année,Genre,Durée,Lectures
1,Alewife,Clairo,Immunity,2019,Alternative,0:03:33,375
2,Opalite,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:55,108
3,"I Knew It, I Knew You (From ""Toy Story 5"")",Taylor Swift,"I Knew It, I Knew You (From ""Toy Story 5"") - Single",2026,Country,0:02:58,
4,Don't Know What To Do,BLACKPINK,KILL THIS LOVE - EP,2019,K-Pop,0:03:21,75
5,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:17,137
6,Có Em Là Nhà,MIN,Dear Min,2025,Pop,0:04:10,61
7,Goodbye Goodmorning,Leigh-Anne,My Ego Told Me To,2026,Pop,0:03:24,60
8,Sexistential,Robyn,Sexistential,2026,Pop,0:02:20,53
9,Never Getting Laid,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:28,47
10,Goodbye,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:45,25
11,Letter to God (1998),Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:02:49,15
12,decode,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:08,55
13,White Feather Hawk Tail Deer Hunter,Lana Del Rey,White Feather Hawk Tail Deer Hunter - Single,2026,Country,0:03:54,43
14,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:46,88
15,Relationships,HAIM,I quit,2025,Alternative,0:03:22,36
16,Fire,Alessia Cara,Love & Hyperbole,2025,Pop,0:03:45,40
17,Dying for You,Charli xcx,Wuthering Heights,2026,Pop,0:03:02,33
18,Teenage Dream,Katy Perry,Teenage Dream: The Complete Confection,2010,Pop,0:03:47,62
19,Times Like These,Addison Rae,Addison,2025,Pop,0:03:52,53
20,Vicious,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:29,44
21,Fast,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:01,19
22,Signs,Tate McRae,So Close To What,2025,Pop,0:02:53,31
23,Low Rise Jeans,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:03:26,28
24,get him back!,Olivia Rodrigo,GUTS (spilled),2023,Pop,0:03:31,58
25,Confetti,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:38,32
26,Shlut,Shygirl,Nymph,2022,Electronica,0:02:12,31
27,The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:05,77
28,If She Could See Me Now,Lorde,Virgin,2025,Pop,0:02:56,44
29,Before I Knew You,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:56,28
30,Too Easy,Tinashe,Too Easy - Single,2026,Pop,0:01:54,
31,The End,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:17,21
32,HÃY NÓI ANH SAI RỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:07,51
33,ÁM ẢNH VỀ ANH,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:01,41
34,New York,Addison Rae,Addison,2025,Pop,0:02:32,90
35,15 Minutes,Sabrina Carpenter,Short n' Sweet (Deluxe),2024,Pop,0:03:11,40
36,Kiss,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:19,19
37,Western Nights,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:06:05,40
38,My Mouth Is Lonely For You (from Mother Mary),Anne Hathaway,Mother Mary: Greatest Hits,2026,Pop,0:04:04,23
39,yes baby,Madison Beer,locket,2025,Pop,0:02:55,39
40,Fast Times,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:54,26
41,Tim McGraw,Taylor Swift,Taylor Swift,2006,Country,0:03:54,94
42,Don’t Worry I’ll Make You Worry,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:42,32
43,Hit the Wall,Gracie Abrams,Daughter from Hell,2026,Pop,0:03:14,24
44,Quá Muộn,MIN,Dear Min,2025,Pop,0:03:26,89
45,Let You Go,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:03,15
46,ANH LÀ THẰNG TỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:20,39
47,Jenny from the Block (feat. Jadakiss & Styles P) [Track Masters Remix],Jennifer Lopez,This Is Me...Then,2002,Pop,0:03:07,33
48,Lucid,Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:03:20,22
49,Sorry To Myself,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:25,20
50,Sugar Talking,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:03,44
51,locket theme,Madison Beer,locket,2026,Pop,0:01:28,22
52,Casual,Chappell Roan,The Rise and Fall of a Midwest Princess,2022,Pop,0:03:52,58
53,Lessons,Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:03:46,18
54,Frequency,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:43,14
55,When Did You Get Hot?,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:25,53
56,Only Living Girl in LA,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:06:14,17
57,Sirens,Cher Lloyd,Sorry I'm Late,2014,Pop,0:03:55,42
58,Down (feat. Lil Wayne),Jay Sean,All or Nothing (Bonus Track Version),2009,R&B/Soul,0:03:32,22
59,Ojos Tristes,"Selena Gomez, benny blanco & The Marías",I Said I Love You First,2025,Pop,0:03:21,30
60,bad enough,Madison Beer,locket,2026,Pop,0:03:42,20
61,Nobody’s Son,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:02,30
62,Tears,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:40,31
63,Little Bit,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:26,15
64,Life of the Spider (Draft),Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:30,17
65,Manchild,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:33,17
66,I Really Like You,Carly Rae Jepsen,Emotion (10th Anniversary Edition),2015,Pop,0:03:24,31
67,House Tour,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:49,53
68,EM ĐAU,Phùng Khánh Linh & Thành Luke,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:05:00,31
69,Arsonist,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:38,18
70,Panic Attack,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:36,17
71,The Great Impersonator,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:22,17
72,Ego,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:18,18
73,Here All Night,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:56,17
74,Altars,Charli xcx,Wuthering Heights,2026,Pop,0:02:56,15
75,I Believe in Magic,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:48,15
76,Dog Years,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:03,17
77,Darwinism,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:45,16
78,vampire,Olivia Rodrigo,GUTS (spilled),2023,Pop,0:03:39,31
79,Joshua Tree,Demi Lovato & Rose Gray,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:03:23,16
80,Issues,Julia Michaels,Nervous System - EP,2017,Pop,0:02:56,47
81,Quiet,Camila Cabello,Familia,2022,Pop,0:02:43,174
82,Sports car,Tate McRae,So Close To What,2025,Pop,0:02:45,32
83,I Never Loved You,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:09,16
84,Afraid of the Dark (Demo),Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:04:17,16
85,Hurt Feelings,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:54,17
86,The Loneliest Time (feat. Rufus Wainwright),Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:04:34,75
87,Bring Your Love,Madonna & Sabrina Carpenter,CONFESSIONS II,2026,Pop,0:03:42,17
88,drop dead,Olivia Rodrigo,you seem pretty sad for a girl so in love,2026,Pop,0:03:44,15
89,On Wires,Carly Rae Jepsen,Day and Night,,Pop,0:03:22,17
90,Alice of the Upper Class,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:22,17
91,Lucky,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:16,15
92,Matilda,Harry Styles,Harry's House,2022,Pop,0:04:05,12
