Position,Nom,Artiste,Album,Année,Genre,Durée,Lectures
1,Alewife,Clairo,Immunity,2019,Alternative,0:03:33,375
2,Opalite,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:55,108
3,"I Knew It, I Knew You (From ""Toy Story 5"")",Taylor Swift,"I Knew It, I Knew You (From ""Toy Story 5"") - Single",2026,Country,0:02:58,
4,Don't Know What To Do,BLACKPINK,KILL THIS LOVE - EP,2019,K-Pop,0:03:21,75
5,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:17,137
6,Có Em Là Nhà,MIN,Dear Min,2025,Pop,0:04:10,64
7,Goodbye Goodmorning,Leigh-Anne,My Ego Told Me To,2026,Pop,0:03:24,61
8,Sexistential,Robyn,Sexistential,2026,Pop,0:02:20,53
9,Never Getting Laid,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:28,47
10,Goodbye,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:45,25
11,Letter to God (1998),Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:02:49,18
12,decode,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:08,56
13,White Feather Hawk Tail Deer Hunter,Lana Del Rey,White Feather Hawk Tail Deer Hunter - Single,2026,Country,0:03:54,44
14,Relationships,HAIM,I quit,2025,Alternative,0:03:22,36
15,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:46,88
16,Dying for You,Charli xcx,Wuthering Heights,2026,Pop,0:03:02,34
17,Fire,Alessia Cara,Love & Hyperbole,2025,Pop,0:03:45,40
18,Teenage Dream,Katy Perry,Teenage Dream: The Complete Confection,2010,Pop,0:03:47,63
19,Vicious,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:29,47
20,Times Like These,Addison Rae,Addison,2025,Pop,0:03:52,54
21,Fast,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:01,19
22,Low Rise Jeans,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:03:26,28
23,get him back!,Olivia Rodrigo,GUTS (spilled),2023,Pop,0:03:31,59
24,Signs,Tate McRae,So Close To What,2025,Pop,0:02:53,31
25,Confetti,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:38,34
26,Shlut,Shygirl,Nymph,2022,Electronica,0:02:12,32
27,Too Easy,Tinashe,Too Easy - Single,2026,Pop,0:01:54,
28,The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:05,77
29,The End,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:17,23
30,If She Could See Me Now,Lorde,Virgin,2025,Pop,0:02:56,44
31,Before I Knew You,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:56,29
32,My Mouth Is Lonely For You (from Mother Mary),Anne Hathaway,Mother Mary: Greatest Hits,2026,Pop,0:04:04,24
33,15 Minutes,Sabrina Carpenter,Short n' Sweet (Deluxe),2024,Pop,0:03:11,41
34,HÃY NÓI ANH SAI RỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:07,52
35,ÁM ẢNH VỀ ANH,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:01,41
36,Hit the Wall,Gracie Abrams,Daughter from Hell,2026,Pop,0:03:14,28
37,New York,Addison Rae,Addison,2025,Pop,0:02:32,90
38,Kiss,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:19,19
39,Western Nights,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:06:05,41
40,Don’t Worry I’ll Make You Worry,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:42,33
41,yes baby,Madison Beer,locket,2025,Pop,0:02:55,40
42,Fast Times,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:54,26
43,Tim McGraw,Taylor Swift,Taylor Swift,2006,Country,0:03:54,94
44,Let You Go,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:03,15
45,ANH LÀ THẰNG TỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:20,40
46,Jenny from the Block (feat. Jadakiss & Styles P) [Track Masters Remix],Jennifer Lopez,This Is Me...Then,2002,Pop,0:03:07,34
47,Quá Muộn,MIN,Dear Min,2025,Pop,0:03:26,89
48,Sugar Talking,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:03,45
49,Only Living Girl in LA,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:06:14,20
50,Lucid,Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:03:20,22
51,Sorry To Myself,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:25,20
52,locket theme,Madison Beer,locket,2026,Pop,0:01:28,22
53,Lessons,Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:03:46,19
54,bad enough,Madison Beer,locket,2026,Pop,0:03:42,20
55,Little Bit,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:26,16
56,Casual,Chappell Roan,The Rise and Fall of a Midwest Princess,2022,Pop,0:03:52,58
57,Down (feat. Lil Wayne),Jay Sean,All or Nothing (Bonus Track Version),2009,R&B/Soul,0:03:32,23
58,Ego,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:18,20
59,House Tour,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:49,54
60,Tears,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:40,32
61,Frequency,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:43,14
62,When Did You Get Hot?,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:25,53
63,Panic Attack,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:36,20
64,Sirens,Cher Lloyd,Sorry I'm Late,2014,Pop,0:03:55,42
65,Manchild,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:33,18
66,stupid song,Olivia Rodrigo,you seem pretty sad for a girl so in love,2026,Pop,0:03:29,20
67,I Really Like You,Carly Rae Jepsen,Emotion (10th Anniversary Edition),2015,Pop,0:03:24,32
68,Ojos Tristes,"Selena Gomez, benny blanco & The Marías",I Said I Love You First,2025,Pop,0:03:21,30
69,Nobody’s Son,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:02,30
70,Afraid of the Dark (Demo),Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:04:17,18
71,Darwinism,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:45,18
72,Life of the Spider (Draft),Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:30,17
73,On Wires,Carly Rae Jepsen,Day and Night,,Pop,0:03:22,20
74,Here All Night,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:56,18
75,Altars,Charli xcx,Wuthering Heights,2026,Pop,0:02:56,16
76,EM ĐAU,Phùng Khánh Linh & Thành Luke,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:05:00,31
77,Arsonist,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:38,18
78,Dog Years,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:03,18
79,Hurt Feelings,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:54,17
80,vampire,Olivia Rodrigo,GUTS (spilled),2023,Pop,0:03:39,31
81,The Great Impersonator,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:22,17
82,Black Prada Dress,Ellie Goulding,I Know Too Much,2025,Pop,0:03:18,14
83,Sports car,Tate McRae,So Close To What,2025,Pop,0:02:45,32
84,betty,Taylor Swift,folklore (deluxe version),2020,Alternative,0:04:54,41
85,I Believe in Magic,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:48,15
86,I Never Loved You,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:09,16
87,Bring Your Love,Madonna & Sabrina Carpenter,CONFESSIONS II,2026,Pop,0:03:42,18
88,Alice of the Upper Class,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:22,18
89,hate that i made you love me,Ariana Grande,petal,2026,Pop,0:03:17,12
90,WHERE IS MY HUSBAND!,RAYE,THIS MUSIC MAY CONTAIN HOPE.,2025,Pop,0:03:17,17
91,Joshua Tree,Demi Lovato & Rose Gray,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:03:23,16
92,Crash Out,Tinashe,Popstar,2026,Pop,0:03:10,18
