Position,Nom,Artiste,Album,Année,Genre,Durée,Lectures
1,Alewife,Clairo,Immunity,2019,Alternative,0:03:33,374
2,Sexistential,Robyn,Sexistential,2026,Pop,0:02:20,53
3,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:17,121
4,Relationships,HAIM,I quit,2025,Alternative,0:03:22,32
5,decode,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:08,47
6,Times Like These,Addison Rae,Addison,2025,Pop,0:03:52,50
7,New York,Addison Rae,Addison,2025,Pop,0:02:32,90
8,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:46,77
9,Casual,Chappell Roan,The Rise and Fall of a Midwest Princess,2022,Pop,0:03:52,55
10,locket theme,Madison Beer,locket,2026,Pop,0:01:28,17
11,Quá Muộn,MIN,Dear Min,2025,Pop,0:03:26,81
12,EM ĐAU,Phùng Khánh Linh & Thành Luke,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:05:00,28
13,Opalite,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:55,
14,HÃY NÓI ANH SAI RỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:07,38
15,Ojos Tristes,"Selena Gomez, benny blanco & The Marías",I Said I Love You First,2025,Pop,0:03:21,23
16,I Ain't Worried,OneRepublic,Top Gun: Maverick (Music from the Motion Picture),2022,Pop,0:02:28,12
17,Tim McGraw,Taylor Swift,Taylor Swift,2006,Country,0:03:54,78
18,Konichiwa Bitches,Robyn,Robyn,2005,Pop,0:02:38,9
19,Never Getting Laid,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:28,26
20,warm,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025,Pop,0:03:21,54
21,Current Affairs,Lorde,Virgin,2025,Pop,0:03:18,98
22,twilight zone,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025,Pop,0:03:18,49
23,Sirens,Cher Lloyd,Sorry I'm Late,2014,Pop,0:03:55,39
24,because i liked a boy,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:16,13
25,All On You,Jessie Ware,Tough Love (Deluxe Version),2014,Pop,0:05:13,29
26,Fast,Demi Lovato,It’s Not That Deep,2025,Pop,0:03:01,34
27,run for the hills,Tate McRae,THINK LATER,2023,Pop,0:02:23,11
28,Ướt Lòng,Văn Mai Hương,Giai Nhân,2025,Pop,0:04:39,8
29,Blue Moon,Zara Larsson,Midnight Sun,2025,Pop,0:03:02,15
30,Adore You,Jessie Ware,What's Your Pleasure? (The Platinum Pleasure Edition),2019,Pop,0:03:45,95
31,Killah,Lady Gaga & Gesaffelstein,MAYHEM,2025,Pop,0:03:30,23
32,Talk To Me,Robyn,Sexistential,2026,Pop,0:03:19,1
33,Món Quà,Văn Mai Hương,Giai Nhân,2025,Pop,0:03:39,8
34,Ray of Light,Madonna,Ray of Light,1998,Pop,0:05:22,4
35,ƯỚC ANH TAN NÁT CON TIM,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2024,Indie Pop,0:03:50,17
36,ĐIỀU EM KHÔNG MUỐN,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:45,42
37,Vùng Xám,Văn Mai Hương & GREY D,Giai Nhân,2025,Pop,0:03:33,7
38,Damn Right,"JENNIE, Childish Gambino & Kali Uchis",Ruby,2025,Pop,0:03:50,14
39,ANH LÀ THẰNG TỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:20,19
40,năm ngoái giờ này (after all),Phùng Khánh Linh,CITOPIA,2022,Pop,0:03:26,18
41,Nhạc Tình,Văn Mai Hương & HURRYKNG,Giai Nhân,2025,Pop,0:03:57,7
42,KHÓC BLÓCK,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:02:57,17
43,All The Things She Said,t.A.T.u.,200 KM/H In The Wrong Lane (10th Anniversary Edition),2002,Pop,0:03:34,3
44,GRIEF IS THE PRICE YOU PAY FOR LOVE,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:02:42,17
45,Favourite Colour,Carly Rae Jepsen,Emotion (10th Anniversary Edition),2015,Pop,0:03:29,
46,Fame is a Gun,Addison Rae,Addison,2025,Pop,0:03:03,26
47,Chains of Love,Charli xcx,Wuthering Heights,2025,Pop,0:02:50,1
48,Like That,Victoria Beckham,Victoria Beckham,2001,Pop,0:04:01,
49,Lost In Devotion,Carly Rae Jepsen,Emotion (10th Anniversary Edition),2025,Pop,0:03:14,109
50,TÂM SỰ VỚI ĐÊM MỘT MÌNH,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:02:56,18
51,Dear god,Tate McRae,So Close To What,2025,Pop,0:02:51,8
52,Warm Blood,Carly Rae Jepsen,Emotion (10th Anniversary Edition),2015,Pop,0:04:13,17
53,LINH CẢM,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:04:09,16
54,You & I (Forever),Jessie Ware,Tough Love (Deluxe Version),2014,Pop,0:03:58,27
55,Ruin The Friendship,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:40,53
56,When I Needed You,Carly Rae Jepsen,Emotion (10th Anniversary Edition),2015,Pop,0:03:41,18
57,Father Figure,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:32,36
58,HIỆN THỰC PHŨ PHÀNG,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:23,38
59,Wi$h Li$t,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:27,62
60,Emotion,Carly Rae Jepsen,Emotion (10th Anniversary Edition),2015,Pop,0:03:17,17
61,CỜ NGƯỜI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:46,17
62,cardigan,Taylor Swift,folklore,2020,Alternative,0:03:59,2
63,Born In the U.S.A.,Bruce Springsteen,Born In the U.S.A.,1984,Rock,0:04:39,9
64,Please Please Please,Sabrina Carpenter,Short n' Sweet (Deluxe),2024,Pop,0:03:06,7
65,ÁM ẢNH VỀ ANH,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:01,16
66,Man Of The Year,Lorde,Virgin,2025,Pop,0:03:00,17
67,If My Heart Was A House,JADE,THAT'S SHOWBIZ BABY! THE ENCORE,2025,Pop,0:02:55,7
68,What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),2025,K-Pop,0:04:10,6
69,Madhouse,Little Mix,DNA (The Deluxe Edition),2012,Pop,0:03:49,38
70,Headache,JADE,THAT'S SHOWBIZ BABY! THE ENCORE,2025,Pop,0:02:44,7
71,Woo,Rihanna,ANTI (Deluxe),2016,Pop,0:03:55,3
72,Vicious,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:29,11
73,Ex,Kiana Ledé,Selfless,2018,R&B/Soul,0:03:42,25
74,When Did You Get Hot?,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:25,35
75,Play Destroy (feat. Grimes),Poppy,Am I a Girl?,2018,Pop,0:03:05,4
76,Midnight Sun,Zara Larsson,Midnight Sun,2025,Pop,0:03:09,26
