Position,Nom,Artiste,Album,Année,Genre,Durée,Lectures
1,Alewife,Clairo,Immunity,2019,Alternative,0:03:33,375
2,Opalite,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:55,108
3,Don't Know What To Do,BLACKPINK,KILL THIS LOVE - EP,2019,K-Pop,0:03:21,75
4,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:17,136
5,"I Knew It, I Knew You",Taylor Swift,"I Knew It, I Knew You - Single",2026,Country,0:02:58,
6,Sexistential,Robyn,Sexistential,2026,Pop,0:02:20,53
7,Never Getting Laid,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:28,46
8,Goodbye,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:45,23
9,decode,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:08,53
10,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:46,88
11,White Feather Hawk Tail Deer Hunter,Lana Del Rey,White Feather Hawk Tail Deer Hunter - Single,2026,Country,0:03:54,40
12,Relationships,HAIM,I quit,2025,Alternative,0:03:22,33
13,Letter to God (1983),Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:01:53,13
14,Dying for You,Charli xcx,Wuthering Heights,2026,Pop,0:03:02,32
15,Times Like These,Addison Rae,Addison,2025,Pop,0:03:52,52
16,Vicious,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:29,42
17,Fast,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:01,16
18,Signs,Tate McRae,So Close To What,2025,Pop,0:02:53,27
19,Shlut,Shygirl,Nymph,2022,Electronica,0:02:12,29
20,The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:05,76
21,New York,Addison Rae,Addison,2025,Pop,0:02:32,90
22,Confetti,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:38,28
23,Fire,Alessia Cara,Love & Hyperbole,2025,Pop,0:03:45,25
24,My Mouth Is Lonely For You (from Mother Mary),Anne Hathaway,Mother Mary: Greatest Hits,2026,Pop,0:04:04,21
25,HÃY NÓI ANH SAI RỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:07,50
26,15 Minutes,Sabrina Carpenter,Short n' Sweet (Deluxe),2024,Pop,0:03:11,37
27,ÁM ẢNH VỀ ANH,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:01,37
28,Fast Times,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:54,25
29,Low Rise Jeans,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:03:26,24
30,yes baby,Madison Beer,locket,2025,Pop,0:02:55,38
31,Kiss,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:19,15
32,Western Nights,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:06:05,37
33,Don’t Worry I’ll Make You Worry,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:42,31
34,The End,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:17,17
35,Let You Go,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:03,13
36,locket theme,Madison Beer,locket,2026,Pop,0:01:28,21
37,ANH LÀ THẰNG TỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:20,37
38,Quá Muộn,MIN,Dear Min,2025,Pop,0:03:26,86
39,Sugar Talking,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:03,42
40,Sorry To Myself,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:03:25,17
41,Jenny from the Block (feat. Jadakiss & Styles P) [Track Masters Remix],Jennifer Lopez,This Is Me...Then,2002,Pop,0:03:07,30
42,Nobody’s Son,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:02,30
43,Frequency,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:43,13
44,Casual,Chappell Roan,The Rise and Fall of a Midwest Princess,2022,Pop,0:03:52,56
45,Down (feat. Lil Wayne),Jay Sean,All or Nothing (Bonus Track Version),2009,R&B/Soul,0:03:32,21
46,Lucid,Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:03:20,19
47,When Did You Get Hot?,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:25,51
48,Little Bit,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:26,13
49,Sirens,Cher Lloyd,Sorry I'm Late,2014,Pop,0:03:55,40
50,Manchild,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:33,17
51,Ojos Tristes,"Selena Gomez, benny blanco & The Marías",I Said I Love You First,2025,Pop,0:03:21,28
52,bad enough,Madison Beer,locket,2026,Pop,0:03:42,16
53,Only Living Girl in LA,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:06:14,14
54,EM ĐAU,Phùng Khánh Linh & Thành Luke,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:05:00,31
55,vampire,Olivia Rodrigo,GUTS (spilled),2023,Pop,0:03:39,30
56,House Tour,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:49,51
57,Quiet,Camila Cabello,Familia,2022,Pop,0:02:43,174
58,Tears,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:02:40,29
59,Life of the Spider (Draft),Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:30,15
60,The Great Impersonator,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:22,15
61,Matilda,Harry Styles,Harry's House,2022,Pop,0:04:05,11
62,Altars,Charli xcx,Wuthering Heights,2026,Pop,0:02:56,13
63,Too Easy,Tinashe,Too Easy - Single,2026,Pop,0:01:54,19
64,Arsonist,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:38,16
65,I Never Loved You,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:09,14
66,Darwinism,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:45,14
67,Panic Attack,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:36,14
68,Ego,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:18,14
69,Joshua Tree,Demi Lovato & Rose Gray,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:03:23,14
70,Go Go Juice,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:13,14
71,Here All Night,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2025,Pop,0:02:56,15
72,After Hours,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:25,16
73,I Believe in Magic,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:48,12
74,Lessons,Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:03:46,13
75,Tim McGraw,Taylor Swift,Taylor Swift,2006,Country,0:03:54,94
76,Alice of the Upper Class,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:22,15
77,Goodbye Goodmorning,Leigh-Anne,My Ego Told Me To,2026,Pop,0:03:24,14
78,Issues,Julia Michaels,Nervous System - EP,2017,Pop,0:02:56,44
79,June Gloom,Camila Cabello,"C,XOXO (Magic City Edition)",2024,Pop,0:03:00,119
80,Pretty Catatonic,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:48,14
81,Sports car,Tate McRae,So Close To What,2025,Pop,0:02:45,28
82,Pink in the Night,Mitski,Be the Cowboy,2018,Indie Rock,0:02:16,41
83,Dog Years,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:03,14
84,Lonely is the Muse,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:04:00,13
85,Hurt Feelings,Halsey,The Great Impersonator (Deluxe),2024,Alternative,0:03:54,12
86,Bring Your Love,Madonna & Sabrina Carpenter,CONFESSIONS II,2026,Pop,0:03:36,14
87,If She Could See Me Now,Lorde,Virgin,2025,Pop,0:02:56,29
88,Love Controller,Demi Lovato,It's Not That Deep (Unless You Want It To Be),2026,Pop,0:02:59,14
89,Chains of Love,Charli xcx,Wuthering Heights,2025,Pop,0:02:50,8
90,I Ain't Worried,OneRepublic,Top Gun: Maverick (Music from the Motion Picture),2022,Pop,0:02:28,14
91,Konichiwa Bitches,Robyn,Robyn,2005,Pop,0:02:38,12
92,Andromeda,Weyes Blood,Titanic Rising,2019,Alternative,0:04:40,111
93,Afraid of the Dark (Demo),Halsey,The Great Impersonator (Deluxe),2026,Alternative,0:04:17,14
