Position,Name,Artist,Album,Genre,Time,Plays
1,Let Me Love You Like a Woman,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:20,72
2,'tis the damn season,Taylor Swift,evermore,Alternative,0:03:49,109
3,Yosemite,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:04,142
4,drivers license,Olivia Rodrigo,SOUR,Pop,0:04:02,101
5,positions,Ariana Grande,Positions,Pop,0:02:52,116
6,willow,Taylor Swift,evermore,Alternative,0:03:34,95
7,exile (feat. Bon Iver),Taylor Swift,folklore,Alternative,0:04:45,115
8,Chemtrails Over the Country Club,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:31,66
9,tolerate it,Taylor Swift,evermore,Alternative,0:04:05,82
10,gold rush,Taylor Swift,evermore,Alternative,0:03:05,93
11,Gimme More,Britney Spears,Blackout,Pop,0:04:11,206
12,cowboy like me,Taylor Swift,evermore,Alternative,0:04:35,83
13,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:35,80
14,For Free (feat. Zella Day & Weyes Blood),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:11,72
15,Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),Country,0:03:55,20
16,deja vu,Olivia Rodrigo,SOUR,Pop,0:03:35,107
17,motive,Ariana Grande & Doja Cat,Positions,Pop,0:02:47,65
18,Radar,Britney Spears,Blackout,Pop,0:03:49,105
19,Dark But Just a Game,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:55,54
20,august,Taylor Swift,folklore,Alternative,0:04:21,86
21,I'm a Slave 4 U,Britney Spears,Britney (Deluxe Version),Pop,0:03:23,149
22,Hold It Against Me,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:49,121
23,Wild at Heart,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:06,56
24,White Dress,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:33,61
25,champagne problems,Taylor Swift,evermore,Alternative,0:04:04,75
26,Dance Till We Die,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:03,54
27,nasty,Ariana Grande,Positions,Pop,0:03:20,68
28,happiness,Taylor Swift,evermore,Alternative,0:05:15,58
29,Thinking Bout You,Ariana Grande,Dangerous Woman,Pop,0:03:20,101
30,Blue Banisters,Lana Del Rey,Blue Banisters - Single,Alternative,0:04:52,
31,Freakshow,Britney Spears,Blackout,Pop,0:02:55,224
32,bad idea,Ariana Grande,"thank u, next",Pop,0:04:27,100
33,Solar Power,Lorde,Solar Power,Alternative,0:03:12,12
34,Kyoto,Phoebe Bridgers,Punisher,Alternative,0:03:04,108
35,Strangers (feat. Lauren Jauregui),Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:41,83
36,Breaking Up Slowly (feat. Nikki Lane),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:02:57,51
37,(I Got That) Boom Boom [feat. Ying Yang Twins],Britney Spears featuring Ying Yang Twins,In the Zone,Pop,0:04:49,86
38,the 1,Taylor Swift,folklore,Alternative,0:03:30,87
39,Not All Who Wander Are Lost,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:07,47
40,34+35,Ariana Grande,Positions,Pop,0:02:53,77
41,seven,Taylor Swift,folklore,Alternative,0:03:28,91
42,Honeymoon,Lana Del Rey,Honeymoon,Alternative,0:05:50,52
43,IN A DREAM,Troye Sivan,In A Dream - EP,Pop,0:03:49,134
44,Confetti (feat. Saweetie),Little Mix,Confetti (feat. Saweetie) - Single,Pop,0:03:05,169
45,this is me trying,Taylor Swift,folklore,Alternative,0:03:15,114
46,"Sweeter Than Fiction (From ""One Chance"")",Taylor Swift,"Sweeter Than Fiction (From ""One Chance"") - Single",Country,0:03:54,96
47,Don't Keep Me Waiting,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:21,101
48,Cruel Summer,Taylor Swift,Lover,Pop,0:02:58,151
49,Going Home,The Aces,Under My Influence,Alternative,0:03:55,42
50,Everytime,Britney Spears,In the Zone,Pop,0:03:50,118
51,I Think He Knows,Taylor Swift,Lover,Pop,0:02:53,108
52,Doin' Time,Lana Del Rey,Norman F*****g Rockwell!,Pop,0:03:22,81
53,in my head,Ariana Grande,"thank u, next",Pop,0:03:42,100
54,good 4 u,Olivia Rodrigo,SOUR,Pop,0:02:58,124
