Position,Nom,Artiste,Album,Année,Genre,Durée,Lectures
1,EM ĐAU,Phùng Khánh Linh & Thành Luke,EM ĐAU - Single,2025,Indie Pop,0:05:00,69
2,365,Charli xcx,Brat and it’s completely different but also still brat,2024,Electronic,0:03:23,43
3,June Gloom,Camila Cabello,"C,XOXO (Magic City Edition)",2024,Pop,0:03:00,89
4,Really don’t like u (feat. Kylie Minogue),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:03:45,112
5,IT girl,JADE,IT girl - Single,2025,Pop,0:02:33,20
6,Tiny Little Bows,Carly Rae Jepsen,Kiss (Deluxe Version),2012,Pop,0:03:21,24
7,That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2024,Pop,0:02:46,34
8,Begin Again (Taylor's Version),Taylor Swift,Red (Taylor's Version) [Video Deluxe],2021,Pop,0:03:58,50
9,I'll Do It,Heidi Montag,Superficial,2010,Pop,0:03:30,23
10,Lie To Girls,Sabrina Carpenter,Short n' Sweet,2024,Pop,0:03:22,63
11,Life of the Spider (Draft),Halsey,The Great Impersonator,2024,Alternative,0:03:30,23
12,Tâm Sự Với Người Lạ,Tiên Cookie,Tâm Sự Với Người Lạ - Single,2016,Pop,0:04:18,17
13,The Alchemy,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:16,75
14,Curiosity,Carly Rae Jepsen,Kiss (Deluxe Version),2012,Pop,0:03:33,18
15,When I Get You Alone,Tinashe,Quantum Baby,2024,R&B/Soul,0:03:20,30
16,Amber Waves,Ethel Cain,Perverts,2025,Alternative,0:11:32,10
17,Mary's Song (Oh My My My),Taylor Swift,Taylor Swift (Bonus Track Version),2006,Country,0:03:33,10
18,Sports car,Tate McRae,So Close To What,2025,Pop,0:02:45,12
19,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024,Pop,0:03:48,58
20,"Happy (From ""Despicable Me 2"")",Pharrell Williams,G I R L,2013,Pop,0:03:52,10
21,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe! - Single",2024,Pop,0:03:38,39
22,two years,ROSÉ,rosie,2024,Pop,0:02:47,36
23,15 MINUTES,Madison Beer,15 MINUTES - Single,2024,Pop,0:03:09,5
24,All Apologies,Nirvana,In Utero (20th Anniversary Edition),1993,Alternative,0:03:56,17
25,Talking Body,Tove Lo,Queen of the Clouds (Blueprint Edition),2014,Alternative,0:03:58,30
26,Porsche (feat. MØ),Charli xcx,Pop 2,2017,Pop,0:03:26,127
27,Wise Mans Blues,Perry Blake,Still Life,1999,Alternative,0:03:56,7
28,Love Goes On,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:52,37
29,Ours (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023,Pop,0:03:55,19
30,ICU,Phoebe Bridgers,Punisher,2020,Alternative,0:03:10,136
31,invisible string,Taylor Swift,folklore (deluxe version),2020,Alternative,0:04:12,28
32,Drowning (feat. Laura V) [Avicii Radio Edit],Armin van Buuren,Armin Anthems Top 100 (Ultimate Singles Collected),2011,Trance,0:03:24,4
33,2 hands,Tate McRae,So Close To What,2024,Pop,0:03:01,5
34,DENIAL IS A RIVER,Doechii,Alligator Bites Never Heal,2024,Hip-Hop/Rap,0:02:39,5
35,Last Kiss (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023,Pop,0:06:09,22
36,Hard Feelings/Loveless,Lorde,Melodrama,2017,Alternative,0:06:07,107
37,Billions,Caroline Polachek,"Desire, I Want to Turn Into You",2022,Indie Pop,0:04:57,10
38,party 4 u,Charli xcx,how i'm feeling now,2020,Pop,0:04:56,54
39,coney island (feat. The National),Taylor Swift,evermore (deluxe version),2020,Alternative,0:04:35,24
40,ghostin,Ariana Grande,"thank u, next",2019,Pop,0:04:31,126
41,Summertime Sadness,Lana Del Rey,Born to Die (Deluxe Version),2012,Alternative,0:04:25,105
42,Crowded Places,BANKS,Crowded Places - Single,2017,Alternative,0:04:22,4
43,Nàng Thơ,Hoàng Dũng,25,2020,Pop,0:04:14,36
44,18,One Direction,FOUR (The Ultimate Edition),2014,Pop,0:04:08,37
