Position,Name,Artist,Album,Year,Genre,Time,Plays
1,Your Best American Girl,Mitski,Puberty 2,2016,Indie Rock,0:03:32,188
2,Beg For You (feat. Rina Sawayama),Charli XCX,CRASH,2022,Pop,0:02:48,117
3,Dancing On My Own,Robyn,"Body Talk, Pt. 1",2010,Electronic,0:04:45,87
4,Working for the Knife,Mitski,Laurel Hell,2021,Alternative,0:02:38,58
5,A Burning Hill,Mitski,Puberty 2,2016,Indie Rock,0:01:49,169
6,Used To Know Me,Charli XCX,CRASH,2022,Pop,0:02:25,119
7,Love Me More,Mitski,Laurel Hell,2022,Alternative,0:03:32,134
8,Tears (feat. Caroline Polachek),Charli XCX,Pop 2,2017,Pop,0:04:13,74
9,Silver Cross,Charli XCX,Charli,2019,Pop,0:03:28,73
10,Heat Lightning,Mitski,Laurel Hell,2021,Alternative,0:02:51,57
11,IN A DREAM,Troye Sivan,In A Dream (2020) - EP,2020,Pop,0:03:49,44
12,New Shapes (feat. Caroline Polachek & Christine and the Queens),Charli XCX,CRASH,2021,Pop,0:03:20,62
13,I Can See the Future,Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:56,36
14,claws,Charli XCX,how i'm feeling now,2020,Pop,0:02:29,87
15,detonate,Charli XCX,how i'm feeling now,2020,Pop,0:03:39,93
16,Constant Repeat,Charli XCX,CRASH,2022,Pop,0:03:09,89
17,Baby,Charli XCX,CRASH,2022,Pop,0:02:39,164
18,Summer Girl (Bonus Track),HAIM,Women In Music Pt. III (Expanded Edition),2019,Alternative,0:03:25,63
19,I Bet on Losing Dogs,Mitski,Puberty 2,2016,Indie Rock,0:02:50,49
20,Thursday Girl,Mitski,Puberty 2,2016,Indie Rock,0:03:08,58
21,Good Ones,Charli XCX,CRASH,2021,Pop,0:02:16,76
22,Yuck,Charli XCX,CRASH,2022,Pop,0:02:18,119
23,Let’s Get Lost,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:13,61
24,Happy,Mitski,Puberty 2,2016,Indie Rock,0:03:40,26
25,Crash,Charli XCX,CRASH,2022,Pop,0:02:09,57
26,Warm Blood,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:04:13,69
27,Crack Baby,Mitski,Puberty 2,2016,Indie Rock,0:04:52,32
