Position,Name,Artist,Album,Year,Genre,Time,Plays
1,Your Best American Girl,Mitski,Puberty 2,2016,Indie Rock,0:03:32,170
2,Beg For You (feat. Rina Sawayama),Charli XCX,CRASH,2022,Pop,0:02:48,115
3,New Shapes (feat. Caroline Polachek & Christine and the Queens),Charli XCX,CRASH,2021,Pop,0:03:20,62
4,I Can See the Future,Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:56,35
5,Tears (feat. Caroline Polachek),Charli XCX,Pop 2,2017,Pop,0:04:13,73
6,Love Me More,Mitski,Laurel Hell,2022,Alternative,0:03:32,132
7,Baby,Charli XCX,CRASH,2022,Pop,0:02:39,161
8,Working for the Knife,Mitski,Laurel Hell,2021,Alternative,0:02:38,57
9,A Burning Hill,Mitski,Puberty 2,2016,Indie Rock,0:01:49,131
10,I Bet on Losing Dogs,Mitski,Puberty 2,2016,Indie Rock,0:02:50,48
11,Dancing On My Own,Robyn,"Body Talk, Pt. 1",2010,Electronic,0:04:45,85
12,IN A DREAM,Troye Sivan,In A Dream (2020) - EP,2020,Pop,0:03:49,23
13,Heat Lightning,Mitski,Laurel Hell,2021,Alternative,0:02:51,53
14,Good Ones,Charli XCX,CRASH,2021,Pop,0:02:16,76
15,detonate,Charli XCX,how i'm feeling now,2020,Pop,0:03:39,90
16,forever,Charli XCX,how i'm feeling now,2020,Pop,0:04:03,52
17,Happy,Mitski,Puberty 2,2016,Indie Rock,0:03:40,25
18,Thursday Girl,Mitski,Puberty 2,2016,Indie Rock,0:03:08,56
19,claws,Charli XCX,how i'm feeling now,2020,Pop,0:02:29,81
20,Used To Know Me,Charli XCX,CRASH,2022,Pop,0:02:25,96
21,X (feat. Jeremih),Tinashe,333,2021,R&B/Soul,0:02:51,
22,Pristine,Snail Mail,Lush,2018,Alternative,0:04:55,43
23,Crack Baby,Mitski,Puberty 2,2016,Indie Rock,0:04:52,32
24,Constant Repeat,Charli XCX,CRASH,2022,Pop,0:03:09,86
25,Impossible,Clairo,Immunity,2019,Alternative,0:03:50,81
26,Crash,Charli XCX,CRASH,2022,Pop,0:02:09,53
27,Let Me Down Slowly,Tinashe,333 (Deluxe),2021,R&B/Soul,0:03:05,18
28,Undo (Back To My Heart),Tinashe & Wax Motif,333 (Deluxe),2021,R&B/Soul,0:03:17,25
29,Click (feat. Kim Petras & Tommy Cash),Charli XCX,Charli,2019,Pop,0:03:53,32
30,Love in the Dark,Adele,25,2015,Pop,0:04:45,91
31,Every Rule,Charli XCX,CRASH,2022,Pop,0:03:03,38
32,Used to This,Camila Cabello,Romance,2019,Pop,0:03:30,117
33,Selfish Girl,Charli XCX,CRASH (Deluxe),2022,Pop,0:03:14,26
34,The Only Heartbreaker,Mitski,Laurel Hell,2021,Alternative,0:03:04,36
35,Francis Forever,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:29,36
36,I Will,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:54,38
37,Fireworks,Mitski,Puberty 2,2016,Indie Rock,0:02:37,21
38,Lightning,Charli XCX,CRASH,2022,Pop,0:03:57,61
39,You Right (Extended),Doja Cat & The Weeknd,Planet Her (Deluxe),2021,Pop,0:04:06,72
40,Silver Cross,Charli XCX,Charli,2019,Pop,0:03:28,35
41,Move Me,Charli XCX,CRASH,2022,Pop,0:02:27,40
42,Yuck,Charli XCX,CRASH,2022,Pop,0:02:18,44
43,Dan the Dancer,Mitski,Puberty 2,2016,Indie Rock,0:02:25,15
44,My Body's Made of Crushed Little Stars,Mitski,Puberty 2,2016,Indie Rock,0:01:56,28
45,Cry for You,September,September,2006,Dance,0:03:28,35
46,Naturally,Tinashe,Naturally - Single,2022,R&B/Soul,0:03:14,
47,7 years,Charli XCX,how i'm feeling now,2020,Pop,0:03:15,17
48,Watercolor Eyes (From “Euphoria” An Original HBO Series),Lana Del Rey,Watercolor Eyes (From “Euphoria” An Original HBO Series) - Single,2022,Soundtrack,0:03:31,56
49,Gone,Charli XCX & Christine and the Queens,Charli,2019,Pop,0:04:06,117
50,Cross You Out (feat. Sky Ferreira),Charli XCX,Charli,2019,Pop,0:03:28,35
51,The Chase,Tinashe,333 (Deluxe),2021,R&B/Soul,0:03:11,16
52,Sorry if I Hurt You,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:41,27
53,Twice,Charli XCX,CRASH,2022,Pop,0:03:14,56
54,STUD,Troye Sivan,In A Dream (2020) - EP,2020,Pop,0:03:29,16
55,Once More to See You,Mitski,Puberty 2,2016,Indie Rock,0:03:00,13
56,Cherry,Lana Del Rey,Lust for Life,2017,Alternative,0:03:00,120
57,Next Level Charli,Charli XCX,Charli,2019,Pop,0:02:37,37
58,First Love / Late Spring,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:04:38,82
59,Cruel,The Aces,Under My Influence,2020,Alternative,0:03:15,110
60,"I Got It (feat. Brooke Candy, CupcakKe and Pabllo Vittar)",Charli XCX,Pop 2,2017,Pop,0:03:51,33
