Position,Name,Artist,Album,Year,Genre,Time,Plays
1,Really don’t like u (feat. Kylie Minogue),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:03:45,80
2,I'm Coming,Tove Lo,Sunshine Kitty (Paw Prints Edition),2020,Alternative,0:03:16,121
3,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:48,111
4,loml,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:37,85
5,Are U gonna tell her? (feat. Mc Zaac),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:02:38,77
6,bad days,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:26,68
7,I LUV IT,Camila Cabello & Playboi Carti,I LUV IT - Single,2024,Pop,0:02:54,
8,Kintsugi,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:06:18,113
9,Lucky,Lucky Twice,Young & Clever,2007,Dance,0:03:25,52
10,I Can Fix Him (No Really I Can),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:02:36,17
11,"Carolina (""Where The Crawdads Sing"" - Video Edition)",Taylor Swift,Carolina (From The Motion Picture “Where The Crawdads Sing”) - Single,2022,Soundtrack,0:02:43,49
12,imgonnagetyouback,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:42,43
13,"yes, and?",Ariana Grande,eternal sunshine,2024,Pop,0:03:34,25
14,Guilty as Sin?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:14,45
15,Von dutch,Charli XCX,Von dutch - Single,2024,Dance,0:02:44,
16,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024,Pop,0:03:48,40
17,Jacques,Jax Jones & Tove Lo,Sunshine Kitty (Paw Prints Edition),2016,Dance,0:03:23,37
18,the boy is mine,Ariana Grande,eternal sunshine,2024,Pop,0:02:53,33
19,stranger,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:54,104
20,Robin,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:00,36
21,the grudge,Olivia Rodrigo,GUTS (spilled),2023,Pop,0:03:09,18
22,lowkey,NIKI,wanna take this downtown? - EP,2019,R&B/Soul,0:02:51,37
23,true story,Ariana Grande,eternal sunshine,2024,Pop,0:02:43,35
24,The Tortured Poets Department,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:53,33
25,The Black Dog,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:58,41
26,"""Slut!"" (Taylor's Version) [From The Vault]",Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:03:00,105
27,In My Room (feat. Guitarricadelafuente),Troye Sivan,Something To Give Each Other,2023,Pop,0:03:13,48
28,you broke me first,Tate McRae,you broke me first - Single,2020,Pop,0:02:49,37
29,Selfish,Britney Spears,Femme Fatale (Deluxe Version),2011,Pop,0:03:43,231
30,making the bed,Olivia Rodrigo,GUTS,2023,Pop,0:03:18,
31,bye,Ariana Grande,eternal sunshine,2024,Pop,0:02:44,28
32,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:02:26,69
33,Valentine,Snail Mail,Valentine,2021,Alternative,0:03:16,53
34,Houdini,Dua Lipa,Houdini - Single,2023,Pop,0:03:05,
35,I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:38,26
36,Am I a Girl?,Poppy,Am I a Girl?,2018,Pop,0:03:37,26
37,Just For You,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:06,155
38,pretty isn’t pretty,Olivia Rodrigo,GUTS,2023,Pop,0:03:19,
39,Candy Necklace (feat. Jon Batiste),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:05:14,110
40,Florida!!! (feat. Florence + the Machine),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:35,27
41,LEVII'S JEANS,Beyoncé & Post Malone,COWBOY CARTER,2024,Country,0:04:17,26
42,The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:05,21
43,Cold Hearted,Paula Abdul,Greatest Hits,2000,Pop,0:03:37,22
44,Fresh Out The Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:30,21
45,love is embarrassing,Olivia Rodrigo,GUTS,2023,Pop,0:02:34,
46,Love Goes On,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:52,26
47,Let Me Love You (feat. Lil Wayne),Ariana Grande,Dangerous Woman,2016,Pop,0:03:43,111
48,Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:03:51,98
49,get him back!,Olivia Rodrigo,GUTS,2023,Pop,0:03:31,
50,Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:21,19
51,How You Get The Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:04:07,35
52,What Was I Made For?,Billie Eilish,Barbie The Album,2023,Pop,0:03:42,71
53,So Right,Carly Rae Jepsen,The Loveliest Time,2023,Pop,0:03:36,48
54,On and On,Hikaru Utada,This Is the One,2009,Pop,0:03:17,28
55,Intuition,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:12,69
56,Needs,Tinashe,BB/ANG3L,2023,R&B/Soul,0:02:26,48
57,Both Sides Now,Emilia Jones,CODA (Soundtrack from the Apple Original Film),2021,Soundtrack,0:04:39,23
58,Cockiness (Love It),Rihanna,Talk That Talk (Deluxe),2011,Pop,0:02:58,31
59,Nasty,Tinashe,Nasty - Single,2024,R&B/Soul,0:02:56,17
60,Issues,Julia Michaels,Nervous System - EP,2017,Pop,0:02:56,17
61,supernatural,Ariana Grande,eternal sunshine,2024,Pop,0:02:43,14
62,Peter,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:43,17
63,Lavender Haze,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:22,65
64,Chloe or Sam or Sophia or Marcus,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:33,15
65,hey you got drugs?,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:04:18,136
66,Dear Reader,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:45,27
67,I Wanna Go,Britney Spears,Femme Fatale (Deluxe Version),2011,Pop,0:03:30,147
68,Freakshow,Britney Spears,Blackout (Deluxe Edition),2007,Pop,0:02:55,296
69,Lilith,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:02:47,37
70,Stadium Love,Carly Rae Jepsen,The Loveliest Time,2023,Pop,0:02:51,29
71,Honeymoon Avenue (Live from London),Ariana Grande,Yours Truly (Tenth Anniversary Edition),2013,Pop,0:04:55,29
72,Back To December (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023,Pop,0:04:54,46
73,Not All Who Wander Are Lost,Lana Del Rey,Chemtrails Over the Country Club,2021,Alternative,0:04:07,89
74,Undo (Back To My Heart),Tinashe & Wax Motif,333 (Deluxe),2021,R&B/Soul,0:03:17,80
