Position,Name,Artist,Album,Year,Genre,Time,Plays
1,bad days,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:26,66
2,Are U gonna tell her? (feat. Mc Zaac),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:02:38,70
3,Lucky,Lucky Twice,Young & Clever,2007,Dance,0:03:25,51
4,"Carolina (""Where The Crawdads Sing"" - Video Edition)",Taylor Swift,Carolina (From The Motion Picture “Where The Crawdads Sing”) - Single,2022,Soundtrack,0:02:43,49
5,"yes, and?",Ariana Grande,eternal sunshine,2024,Pop,0:03:34,25
6,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024,Pop,0:03:48,16
7,Von dutch,Charli XCX,Von dutch - Single,2024,Dance,0:02:44,36
8,In My Room (feat. Guitarricadelafuente),Troye Sivan,Something To Give Each Other,2023,Pop,0:03:13,47
9,"""Slut!"" (Taylor's Version) [From The Vault]",Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:03:00,102
10,you broke me first,Tate McRae,you broke me first - Single,2020,Pop,0:02:49,34
11,Selfish,Britney Spears,Femme Fatale (Deluxe Version),2011,Pop,0:03:43,229
12,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:02:26,69
13,Valentine,Snail Mail,Valentine,2021,Alternative,0:03:16,53
14,the boy is mine,Ariana Grande,eternal sunshine,2024,Pop,0:02:53,22
15,Just For You,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:06,155
16,true story,Ariana Grande,eternal sunshine,2024,Pop,0:02:43,11
17,Candy Necklace (feat. Jon Batiste),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:05:14,110
18,making the bed,Olivia Rodrigo,GUTS,2023,Pop,0:03:18,
19,Cold Hearted,Paula Abdul,Greatest Hits,2000,Pop,0:03:37,20
20,Love Goes On,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:52,24
21,Let Me Love You (feat. Lil Wayne),Ariana Grande,Dangerous Woman,2016,Pop,0:03:43,111
22,bye,Ariana Grande,eternal sunshine,2024,Pop,0:02:44,19
23,What Was I Made For?,Billie Eilish,Barbie The Album,2023,Pop,0:03:42,71
24,Intuition,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:12,69
25,How You Get The Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:04:07,34
26,Cockiness (Love It),Rihanna,Talk That Talk (Deluxe),2011,Pop,0:02:58,20
27,Houdini,Dua Lipa,Houdini - Single,2023,Pop,0:03:05,
28,On and On,Hikaru Utada,This Is the One,2009,Pop,0:03:17,26
29,Dear Reader,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:45,27
30,Stadium Love,Carly Rae Jepsen,The Loveliest Time,2023,Pop,0:02:51,29
31,Needs,Tinashe,BB/ANG3L,2023,R&B/Soul,0:02:26,46
32,Honeymoon Avenue (Live from London),Ariana Grande,Yours Truly (Tenth Anniversary Edition),2013,Pop,0:04:55,29
33,Both Sides Now,Emilia Jones,CODA (Soundtrack from the Apple Original Film),2021,Soundtrack,0:04:39,17
34,Undo (Back To My Heart),Tinashe & Wax Motif,333 (Deluxe),2021,R&B/Soul,0:03:17,80
35,Lavender Haze,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:22,63
36,I Wanna Go,Britney Spears,Femme Fatale (Deluxe Version),2011,Pop,0:03:30,147
37,Freakshow,Britney Spears,Blackout (Deluxe Edition),2007,Pop,0:02:55,295
38,Sometimes,Britney Spears,...Baby One More Time (Deluxe Version),1999,Pop,0:04:05,130
39,pretty isn’t pretty,Olivia Rodrigo,GUTS,2023,Pop,0:03:19,
40,the grudge,Olivia Rodrigo,GUTS,2023,Pop,0:03:09,
41,Lilith,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:02:47,35
42,love is embarrassing,Olivia Rodrigo,GUTS,2023,Pop,0:02:34,
43,The Lucky One (Taylor's Version),Taylor Swift,Red (Taylor's Version) [Video Deluxe],2021,Pop,0:04:00,27
44,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:03:49,102
45,Dance The Night,Dua Lipa,Barbie The Album,2023,Pop,0:02:56,17
46,supernatural,Ariana Grande,eternal sunshine,2024,Pop,0:02:43,10
47,hey you got drugs?,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:04:18,132
48,First Love (Remastered 2014),Hikaru Utada,First Love (Remastered 2014),1999,J-Pop,0:04:17,20
49,Not Strong Enough,boygenius,the record,2023,Alternative,0:03:54,47
50,Maroon,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:38,101
51,"Can't Go Back, Baby",Troye Sivan,Something To Give Each Other,2023,Pop,0:03:21,57
52,Anxious (Bonus Track),Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:02:57,160
53,Midnight Rain,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:02:54,60
54,Back To December (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023,Pop,0:04:54,42
55,get him back!,Olivia Rodrigo,GUTS,2023,Pop,0:03:31,
56,Bends,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:03:15,122
57,Ex,Kiana Ledé,Selfless,2018,R&B/Soul,0:03:42,17
58,Agora Hills,Doja Cat,Scarlet,2023,Rap,0:04:25,7
59,Gimmie Love,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:22,110
60,greedy,Tate McRae,THINK LATER,2023,Pop,0:02:09,13
61,Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:04:39,49
62,Mine (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023,Pop,0:03:51,22
63,Pristine,Snail Mail,Lush,2018,Alternative,0:04:55,81
64,How To Stay With You,Troye Sivan,Something To Give Each Other,2023,Pop,0:03:16,75
65,Mastermind,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:11,27
66,TEXAS HOLD 'EM,Beyoncé,TEXAS HOLD 'EM - Single,2024,Country,0:03:53,
67,Honey,Troye Sivan,Something To Give Each Other,2023,Pop,0:03:26,31
68,shivering gold,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:35,6
69,I LUV IT,Camila Cabello & Playboi Carti,I LUV IT - Single,2024,Pop,0:02:54,34
70,Shadow,Carly Rae Jepsen,The Loveliest Time,2023,Pop,0:02:49,75
71,Rush,Troye Sivan,Something To Give Each Other,2023,Pop,0:02:36,18
72,You’re Losing Me (From The Vault),Taylor Swift,You're Losing Me (From The Vault) - Single,2023,Pop,0:04:37,24
73,ballad of a homeschooled girl,Olivia Rodrigo,GUTS,2023,Pop,0:03:23,
74,Vigilante Shit,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:02:44,30
75,The End of the World,Skeeter Davis,The Essential Skeeter Davis,1962,Country,0:02:37,15
76,River,Miley Cyrus,Endless Summer Vacation,2023,Pop,0:02:42,79
77,Gibson Girl,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:05:42,14
78,Versace On The Floor,Bruno Mars,24K Magic,2016,Pop,0:04:21,50
79,Julien,Carly Rae Jepsen,Dedicated,2019,Pop,0:03:54,75
80,mad woman,Taylor Swift,folklore (deluxe version),2020,Alternative,0:03:57,21
81,Perfect Places,Lorde,Melodrama,2017,Alternative,0:03:41,194
82,the grudge,Olivia Rodrigo,GUTS (spilled),2023,Pop,0:03:09,8
83,HISS,Megan Thee Stallion,HISS - Single,2024,Hip-Hop/Rap,0:03:12,1
84,Thinking Bout You,Ariana Grande,Dangerous Woman,2016,Pop,0:03:20,166
85,Bejeweled,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:14,27
86,One Of Your Girls,Troye Sivan,Something To Give Each Other,2023,Pop,0:03:01,57
87,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club,2021,Alternative,0:03:35,129
88,claws,Charli XCX,how i'm feeling now,2020,Pop,0:02:29,140
89,Fight Against Your Fleshy Lusts,Julie Ragbeer,Perplex,2023,Pop,0:02:12,7
90,A&W,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:07:13,90
91,Let The Light In (feat. Father John Misty),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:04:38,64
92,The Grants,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:04:55,53
93,Dấu Mưa,Trung Quân,Dấu Mưa - Single,2013,Pop,0:04:20,43
94,The Nightingale,Julee Cruise,Twin Peaks (Soundtrack From),1990,Soundtrack,0:04:56,6
95,Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),2021,Country,0:03:55,99
96,stranger,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:54,71
97,How to disappear,Lana Del Rey,Norman F*****g Rockwell!,2019,Alternative,0:03:48,98
98,All the Time,Zara Larsson,All the Time - Single,2019,Pop,0:03:48,93
99,vampire,Olivia Rodrigo,GUTS,2023,Pop,0:03:39,
100,Rose Colored Lenses,Miley Cyrus,Endless Summer Vacation,2023,Pop,0:03:43,62
