Position,Name,Artist,Album,Year,Genre,Time,Plays
1,I'm Coming,Tove Lo,Sunshine Kitty (Paw Prints Edition),2020,Alternative,0:03:16,129
2,Really don’t like u (feat. Kylie Minogue),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:03:45,82
3,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:48,121
4,loml,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:37,103
5,bad days,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:26,70
6,Are U gonna tell her? (feat. Mc Zaac),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:02:38,78
7,Lavender Haze,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:22,126
8,I Can Fix Him (No Really I Can),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:02:36,36
9,Guilty as Sin?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:14,58
10,The Black Dog,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:58,61
11,I LUV IT,Camila Cabello & Playboi Carti,I LUV IT - Single,2024,Pop,0:02:54,
12,imgonnagetyouback,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:42,55
13,The Alchemy,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:16,57
14,stranger,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:54,121
15,Shifted,Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:03:12,55
16,Kintsugi,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:06:18,114
17,Jacques,Jax Jones & Tove Lo,Sunshine Kitty (Paw Prints Edition),2016,Dance,0:03:23,45
18,Lucky,Lucky Twice,Young & Clever,2007,Dance,0:03:25,52
19,"Carolina (""Where The Crawdads Sing"" - Video Edition)",Taylor Swift,Carolina (From The Motion Picture “Where The Crawdads Sing”) - Single,2022,Soundtrack,0:02:43,49
20,Von dutch,Charli xcx,Von dutch - Single,2024,Dance,0:02:44,
21,The Tortured Poets Department,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:53,46
22,"yes, and?",Ariana Grande,eternal sunshine,2024,Pop,0:03:34,27
23,Daddy AF,Slayyyter,Slayyyter,2019,Pop,0:02:31,48
24,The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:05,39
25,Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:21,41
26,Robin,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:00,41
27,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024,Pop,0:03:48,42
28,the boy is mine,Ariana Grande,eternal sunshine,2024,Pop,0:02:53,36
29,I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:38,38
30,true story,Ariana Grande,eternal sunshine,2024,Pop,0:02:43,40
31,lowkey,NIKI,wanna take this downtown? - EP,2019,R&B/Soul,0:02:51,39
32,the grudge,Olivia Rodrigo,GUTS (spilled),2023,Pop,0:03:09,18
33,making the bed,Olivia Rodrigo,GUTS,2023,Pop,0:03:18,
34,"""Slut!"" (Taylor's Version) [From The Vault]",Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:03:00,107
35,Selfish,Britney Spears,Femme Fatale (Deluxe Version),2011,Pop,0:03:43,232
36,In My Room (feat. Guitarricadelafuente),Troye Sivan,Something To Give Each Other,2023,Pop,0:03:13,48
37,you broke me first,Tate McRae,you broke me first - Single,2020,Pop,0:02:49,37
38,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:02:26,73
39,bye,Ariana Grande,eternal sunshine,2024,Pop,0:02:44,30
40,Florida!!! (feat. Florence + the Machine),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:35,32
41,Clara Bow,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:36,32
42,Cockiness (Love It),Rihanna,Talk That Talk (Deluxe),2011,Pop,0:02:58,31
43,Close To You,Gracie Abrams,The Secret of Us,2024,Pop,0:03:45,26
44,intro (end of the world),Ariana Grande,eternal sunshine,2024,Pop,0:01:32,31
45,Fresh Out The Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:30,26
46,Valentine,Snail Mail,Valentine,2021,Alternative,0:03:16,54
47,Just For You,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:06,157
48,Nasty,Tinashe,Nasty - Single,2024,R&B/Soul,0:02:56,27
49,Am I a Girl?,Poppy,Am I a Girl?,2018,Pop,0:03:37,27
50,pretty isn’t pretty,Olivia Rodrigo,GUTS,2023,Pop,0:03:19,
51,Candy Necklace (feat. Jon Batiste),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:05:14,112
52,But Daddy I Love Him,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:05:40,23
53,Peter,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:43,25
54,LEVII'S JEANS,Beyoncé & Post Malone,COWBOY CARTER,2024,Country,0:04:17,28
55,Fishtail,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:04:02,85
56,Issues,Julia Michaels,Nervous System - EP,2017,Pop,0:02:56,22
57,Both Sides Now,Emilia Jones,CODA (Soundtrack from the Apple Original Film),2021,Soundtrack,0:04:39,23
58,First Love (Remastered 2014),Hikaru Utada,First Love (Remastered 2014),1999,J-Pop,0:04:17,32
59,Houdini,Dua Lipa,Houdini - Single,2023,Pop,0:03:05,
60,360,Charli xcx,BRAT,2024,Dance,0:02:13,
61,Cold Hearted,Paula Abdul,Greatest Hits,2000,Pop,0:03:37,22
62,Chloe or Sam or Sophia or Marcus,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:33,20
63,love is embarrassing,Olivia Rodrigo,GUTS,2023,Pop,0:02:34,
64,I Look in People's Windows,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:02:11,23
65,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024,Alternative,0:04:21,22
66,Love Goes On,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:52,26
67,Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:03:51,100
68,get him back!,Olivia Rodrigo,GUTS,2023,Pop,0:03:31,
69,Let Me Love You (feat. Lil Wayne),Ariana Grande,Dangerous Woman,2016,Pop,0:03:43,111
70,So Right,Carly Rae Jepsen,The Loveliest Time,2023,Pop,0:03:36,49
71,On and On,Hikaru Utada,This Is the One,2009,Pop,0:03:17,29
