Position,Name,Artist,Album,Year,Genre,Time,Plays
1,Are U gonna tell her? (feat. Mc Zaac),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:02:38,70
2,bad days,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:26,66
3,Lucky,Lucky Twice,Young & Clever,2007,Dance,0:03:25,51
4,"Carolina (""Where The Crawdads Sing"" - Video Edition)",Taylor Swift,Carolina (From The Motion Picture “Where The Crawdads Sing”) - Single,2022,Soundtrack,0:02:43,49
5,"yes, and?",Ariana Grande,eternal sunshine,2024,Pop,0:03:34,25
6,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024,Pop,0:03:48,16
7,Von dutch,Charli XCX,Von dutch - Single,2024,Dance,0:02:44,36
8,In My Room (feat. Guitarricadelafuente),Troye Sivan,Something To Give Each Other,2023,Pop,0:03:13,47
9,"""Slut!"" (Taylor's Version) [From The Vault]",Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:03:00,102
10,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:02:26,69
11,Selfish,Britney Spears,Femme Fatale (Deluxe Version),2011,Pop,0:03:43,229
12,Valentine,Snail Mail,Valentine,2021,Alternative,0:03:16,53
13,you broke me first,Tate McRae,you broke me first - Single,2020,Pop,0:02:49,34
14,the boy is mine,Ariana Grande,eternal sunshine,2024,Pop,0:02:53,22
15,true story,Ariana Grande,eternal sunshine,2024,Pop,0:02:43,11
16,Just For You,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:06,155
17,making the bed,Olivia Rodrigo,GUTS,2023,Pop,0:03:18,
18,Candy Necklace (feat. Jon Batiste),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:05:14,110
19,Cold Hearted,Paula Abdul,Greatest Hits,2000,Pop,0:03:37,20
20,bye,Ariana Grande,eternal sunshine,2024,Pop,0:02:44,19
21,Let Me Love You (feat. Lil Wayne),Ariana Grande,Dangerous Woman,2016,Pop,0:03:43,111
22,What Was I Made For?,Billie Eilish,Barbie The Album,2023,Pop,0:03:42,71
23,Intuition,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:12,69
24,Cockiness (Love It),Rihanna,Talk That Talk (Deluxe),2011,Pop,0:02:58,20
25,Houdini,Dua Lipa,Houdini - Single,2023,Pop,0:03:05,
26,On and On,Hikaru Utada,This Is the One,2009,Pop,0:03:17,26
27,Dear Reader,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:45,27
28,How You Get The Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:04:07,34
29,Needs,Tinashe,BB/ANG3L,2023,R&B/Soul,0:02:26,45
30,Honeymoon Avenue (Live from London),Ariana Grande,Yours Truly (Tenth Anniversary Edition),2013,Pop,0:04:55,29
31,Both Sides Now,Emilia Jones,CODA (Soundtrack from the Apple Original Film),2021,Soundtrack,0:04:39,17
32,Lavender Haze,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:22,63
33,Stadium Love,Carly Rae Jepsen,The Loveliest Time,2023,Pop,0:02:51,29
34,Sometimes,Britney Spears,...Baby One More Time (Deluxe Version),1999,Pop,0:04:05,130
35,Undo (Back To My Heart),Tinashe & Wax Motif,333 (Deluxe),2021,R&B/Soul,0:03:17,80
36,pretty isn’t pretty,Olivia Rodrigo,GUTS,2023,Pop,0:03:19,
37,I Wanna Go,Britney Spears,Femme Fatale (Deluxe Version),2011,Pop,0:03:30,147
38,the grudge,Olivia Rodrigo,GUTS,2023,Pop,0:03:09,
39,Freakshow,Britney Spears,Blackout (Deluxe Edition),2007,Pop,0:02:55,295
40,Lilith,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:02:47,35
41,love is embarrassing,Olivia Rodrigo,GUTS,2023,Pop,0:02:34,
42,The Lucky One (Taylor's Version),Taylor Swift,Red (Taylor's Version) [Video Deluxe],2021,Pop,0:04:00,27
43,hey you got drugs?,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:04:18,132
44,First Love (Remastered 2014),Hikaru Utada,First Love (Remastered 2014),1999,J-Pop,0:04:17,20
45,Not Strong Enough,boygenius,the record,2023,Alternative,0:03:54,47
46,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:03:49,102
47,Maroon,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:38,101
48,Dance The Night,Dua Lipa,Barbie The Album,2023,Pop,0:02:56,17
49,Midnight Rain,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:02:54,60
50,Back To December (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023,Pop,0:04:54,42
51,Love Goes On,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:52,24
52,get him back!,Olivia Rodrigo,GUTS,2023,Pop,0:03:31,
53,"Can't Go Back, Baby",Troye Sivan,Something To Give Each Other,2023,Pop,0:03:21,57
54,Bends,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:03:15,122
55,Agora Hills,Doja Cat,Scarlet,2023,Rap,0:04:25,7
56,Gimmie Love,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:22,110
57,Anxious (Bonus Track),Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:02:57,160
