Position,Name,Artist,Album,Year,Genre,Time,Plays
1,Really don’t like u (feat. Kylie Minogue),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:03:45,80
2,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:48,111
3,Are U gonna tell her? (feat. Mc Zaac),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:02:38,76
4,bad days,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:26,67
5,loml,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:37,78
6,I'm Coming,Tove Lo,Sunshine Kitty (Paw Prints Edition),2020,Alternative,0:03:16,104
7,Kintsugi,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:06:18,113
8,Lucky,Lucky Twice,Young & Clever,2007,Dance,0:03:25,52
9,"Carolina (""Where The Crawdads Sing"" - Video Edition)",Taylor Swift,Carolina (From The Motion Picture “Where The Crawdads Sing”) - Single,2022,Soundtrack,0:02:43,49
10,"yes, and?",Ariana Grande,eternal sunshine,2024,Pop,0:03:34,25
11,I LUV IT,Camila Cabello & Playboi Carti,I LUV IT - Single,2024,Pop,0:02:54,40
12,Von dutch,Charli XCX,Von dutch - Single,2024,Dance,0:02:44,
13,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024,Pop,0:03:48,40
14,true story,Ariana Grande,eternal sunshine,2024,Pop,0:02:43,34
15,"""Slut!"" (Taylor's Version) [From The Vault]",Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:03:00,104
16,you broke me first,Tate McRae,you broke me first - Single,2020,Pop,0:02:49,37
17,the boy is mine,Ariana Grande,eternal sunshine,2024,Pop,0:02:53,27
18,In My Room (feat. Guitarricadelafuente),Troye Sivan,Something To Give Each Other,2023,Pop,0:03:13,47
19,Selfish,Britney Spears,Femme Fatale (Deluxe Version),2011,Pop,0:03:43,231
20,making the bed,Olivia Rodrigo,GUTS,2023,Pop,0:03:18,
21,The Black Dog,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:58,34
22,Guilty as Sin?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:14,34
23,Robin,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:00,35
24,bye,Ariana Grande,eternal sunshine,2024,Pop,0:02:44,28
25,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:02:26,69
26,Valentine,Snail Mail,Valentine,2021,Alternative,0:03:16,53
27,Just For You,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:06,155
28,the grudge,Olivia Rodrigo,GUTS,2023,Pop,0:03:09,
29,Candy Necklace (feat. Jon Batiste),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:05:14,110
30,The Tortured Poets Department,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:53,29
31,I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:38,26
32,love is embarrassing,Olivia Rodrigo,GUTS,2023,Pop,0:02:34,
33,Love Goes On,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:52,26
34,imgonnagetyouback,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:42,40
35,Cold Hearted,Paula Abdul,Greatest Hits,2000,Pop,0:03:37,21
36,pretty isn’t pretty,Olivia Rodrigo,GUTS,2023,Pop,0:03:19,
37,lowkey,NIKI,wanna take this downtown? - EP,2019,R&B/Soul,0:02:51,37
38,Let Me Love You (feat. Lil Wayne),Ariana Grande,Dangerous Woman,2016,Pop,0:03:43,111
39,Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:03:51,98
40,Houdini,Dua Lipa,Houdini - Single,2023,Pop,0:03:05,
41,How You Get The Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:04:07,35
42,What Was I Made For?,Billie Eilish,Barbie The Album,2023,Pop,0:03:42,71
43,So Right,Carly Rae Jepsen,The Loveliest Time,2023,Pop,0:03:36,47
44,Intuition,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:12,69
45,Both Sides Now,Emilia Jones,CODA (Soundtrack from the Apple Original Film),2021,Soundtrack,0:04:39,19
46,On and On,Hikaru Utada,This Is the One,2009,Pop,0:03:17,27
47,Cockiness (Love It),Rihanna,Talk That Talk (Deluxe),2011,Pop,0:02:58,20
48,Needs,Tinashe,BB/ANG3L,2023,R&B/Soul,0:02:26,47
49,get him back!,Olivia Rodrigo,GUTS,2023,Pop,0:03:31,
50,Lavender Haze,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:22,65
51,Issues,Julia Michaels,Nervous System - EP,2017,Pop,0:02:56,16
52,Dear Reader,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:45,27
53,Jacques,Jax Jones & Tove Lo,Sunshine Kitty (Paw Prints Edition),2016,Dance,0:03:23,15
54,I Wanna Go,Britney Spears,Femme Fatale (Deluxe Version),2011,Pop,0:03:30,147
55,Lilith,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:02:47,37
56,Stadium Love,Carly Rae Jepsen,The Loveliest Time,2023,Pop,0:02:51,29
57,Honeymoon Avenue (Live from London),Ariana Grande,Yours Truly (Tenth Anniversary Edition),2013,Pop,0:04:55,29
58,Back To December (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023,Pop,0:04:54,46
59,Not All Who Wander Are Lost,Lana Del Rey,Chemtrails Over the Country Club,2021,Alternative,0:04:07,89
60,Undo (Back To My Heart),Tinashe & Wax Motif,333 (Deluxe),2021,R&B/Soul,0:03:17,80
61,COZY,Beyoncé,RENAISSANCE,2022,Pop,0:03:30,27
62,Freakshow,Britney Spears,Blackout (Deluxe Edition),2007,Pop,0:02:55,296
63,Sometimes,Britney Spears,...Baby One More Time (Deluxe Version),1999,Pop,0:04:05,130
64,hey you got drugs?,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:04:18,135
65,Maroon,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:38,104
66,enough for you,Olivia Rodrigo,SOUR,2021,Pop,0:03:22,51
67,Dance The Night,Dua Lipa,Barbie The Album,2023,Pop,0:02:56,19
68,The Lucky One (Taylor's Version),Taylor Swift,Red (Taylor's Version) [Video Deluxe],2021,Pop,0:04:00,27
69,Midnight Rain,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:02:54,62
70,Peter,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:43,16
71,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:03:49,102
72,ballad of a homeschooled girl,Olivia Rodrigo,GUTS,2023,Pop,0:03:23,
73,supernatural,Ariana Grande,eternal sunshine,2024,Pop,0:02:43,10
74,First Love (Remastered 2014),Hikaru Utada,First Love (Remastered 2014),1999,J-Pop,0:04:17,20
75,Not Strong Enough,boygenius,the record,2023,Alternative,0:03:54,47
76,Ex,Kiana Ledé,Selfless,2018,R&B/Soul,0:03:42,18
77,vampire,Olivia Rodrigo,GUTS,2023,Pop,0:03:39,
78,Am I a Girl?,Poppy,Am I a Girl?,2018,Pop,0:03:37,25
79,"Can't Go Back, Baby",Troye Sivan,Something To Give Each Other,2023,Pop,0:03:21,57
80,Anxious (Bonus Track),Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:02:57,160
81,Mateo,Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:02:49,13
82,I Hate It Here,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:03,13
83,Gimmie Love,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:22,111
84,Bends,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:03:15,122
85,Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:21,18
86,Mine (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023,Pop,0:03:51,23
