Position,Name,Artist,Album,Genre,Time,Plays
1,'tis the damn season,Taylor Swift,evermore,Alternative,0:03:49,103
2,Let Me Love You Like a Woman,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:20,67
3,drivers license,Olivia Rodrigo,SOUR,Pop,0:04:02,98
4,positions,Ariana Grande,Positions,Pop,0:02:52,107
5,willow,Taylor Swift,evermore,Alternative,0:03:34,93
6,exile (feat. Bon Iver),Taylor Swift,folklore,Alternative,0:04:45,107
7,Chemtrails Over the Country Club,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:31,61
8,Yosemite,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:04,103
9,For Free (feat. Zella Day & Weyes Blood),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:11,66
10,deja vu,Olivia Rodrigo,SOUR,Pop,0:03:35,105
11,Gimme More,Britney Spears,Blackout,Pop,0:04:11,200
12,Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),Country,0:03:55,16
13,tolerate it,Taylor Swift,evermore,Alternative,0:04:05,78
14,cowboy like me,Taylor Swift,evermore,Alternative,0:04:35,77
15,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:35,74
16,gold rush,Taylor Swift,evermore,Alternative,0:03:05,86
17,august,Taylor Swift,folklore,Alternative,0:04:21,83
18,White Dress,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:33,54
19,motive,Ariana Grande & Doja Cat,Positions,Pop,0:02:47,57
20,Wild at Heart,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:06,52
21,Dark But Just a Game,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:55,48
22,champagne problems,Taylor Swift,evermore,Alternative,0:04:04,71
23,Radar,Britney Spears,Blackout,Pop,0:03:49,101
24,happiness,Taylor Swift,evermore,Alternative,0:05:15,56
25,the 1,Taylor Swift,folklore,Alternative,0:03:30,87
26,bad idea,Ariana Grande,"thank u, next",Pop,0:04:27,98
27,(I Got That) Boom Boom [feat. Ying Yang Twins],Britney Spears featuring Ying Yang Twins,In the Zone,Pop,0:04:49,85
28,Solar Power,Lorde,Solar Power,Alternative,0:03:12,10
29,Breaking Up Slowly (feat. Nikki Lane),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:02:57,47
30,I'm a Slave 4 U,Britney Spears,Britney (Deluxe Version),Pop,0:03:23,138
31,Hold It Against Me,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:49,116
32,Thinking Bout You,Ariana Grande,Dangerous Woman,Pop,0:03:20,98
33,this is me trying,Taylor Swift,folklore,Alternative,0:03:15,112
34,Dance Till We Die,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:03,48
35,Kyoto,Phoebe Bridgers,Punisher,Alternative,0:03:04,103
36,Confetti (feat. Saweetie),Little Mix,Confetti (feat. Saweetie) - Single,Pop,0:03:05,166
37,seven,Taylor Swift,folklore,Alternative,0:03:28,87
38,I Think He Knows,Taylor Swift,Lover,Pop,0:02:53,105
39,nasty,Ariana Grande,Positions,Pop,0:03:20,61
40,34+35,Ariana Grande,Positions,Pop,0:02:53,68
41,Don't Keep Me Waiting,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:21,98
42,Freakshow,Britney Spears,Blackout,Pop,0:02:55,216
43,"Sweeter Than Fiction (From ""One Chance"")",Taylor Swift,"Sweeter Than Fiction (From ""One Chance"") - Single",Country,0:03:54,95
44,Cruel Summer,Taylor Swift,Lover,Pop,0:02:58,140
45,IN A DREAM,Troye Sivan,In A Dream - EP,Pop,0:03:49,130
46,Not All Who Wander Are Lost,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:07,42
47,Doin' Time,Lana Del Rey,Norman F*****g Rockwell!,Pop,0:03:22,79
48,Safe & Sound (feat. The Civil Wars),Taylor Swift,The Hunger Games (Songs from District 12 and Beyond),Soundtrack,0:04:00,41
49,7 rings,Ariana Grande,"thank u, next",Pop,0:02:58,58
50,mirrorball,Taylor Swift,folklore,Alternative,0:03:28,78
51,thế giới không anh,Phùng Khánh Linh,yesteryear,Pop,0:04:19,18
52,in my head,Ariana Grande,"thank u, next",Pop,0:03:42,95
53,long story short,Taylor Swift,evermore,Alternative,0:03:35,54
54,good 4 u,Olivia Rodrigo,SOUR,Pop,0:02:58,100
55,my tears ricochet,Taylor Swift,folklore,Alternative,0:04:15,74
56,Shadow,Britney Spears,In the Zone,Pop,0:03:44,93
57,High Horse,Kacey Musgraves,Golden Hour,Country,0:03:33,92
58,Breathe On Me,Britney Spears,In the Zone,Pop,0:03:43,135
59,Gone,Charli XCX & Christine and the Queens,Charli,Pop,0:04:06,86
60,Everytime,Britney Spears,In the Zone,Pop,0:03:50,113
61,Everything Has Changed (feat. Ed Sheeran),Taylor Swift,Red (Deluxe Edition),Country,0:04:03,55
62,Good Time,Owl City & Carly Rae Jepsen,Good Time - Single,Pop,0:03:25,28
63,Strangers (feat. Lauren Jauregui),Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:41,70
64,"Love Me Like You Do (From ""Fifty Shades of Grey"")",Ellie Goulding,Delirium (Deluxe),Pop,0:04:12,48
65,Hustler,Josef Salvat,Night Swim (Deluxe),Pop,0:03:54,24
66,Backseat (feat. Carly Rae Jepsen),Charli XCX,Pop 2,Pop,0:03:58,55
67,WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion) - Single,Hip-Hop/Rap,0:03:07,84
68,I Know the End,Phoebe Bridgers,Punisher,Alternative,0:05:44,47
69,coney island (feat. The National),Taylor Swift,evermore,Alternative,0:04:35,53
70,White Mustang,Lana Del Rey,Lust for Life,Alternative,0:02:44,137
71,How I Roll,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:36,68
72,the last great american dynasty,Taylor Swift,folklore,Alternative,0:03:50,33
73,"thank u, next",Ariana Grande,"thank u, next",Pop,0:03:27,82
74,Lonely Weekend,Kacey Musgraves,Golden Hour,Country,0:03:46,81
75,Rain On Me,Lady Gaga & Ariana Grande,Chromatica,Pop,0:03:02,90
76,closure,Taylor Swift,evermore,Alternative,0:03:00,37
77,Busy Boy,Chloe x Halle,Ungodly Hour,R&B/Soul,0:03:09,29
78,False God,Taylor Swift,Lover,Pop,0:03:20,88
79,The Hook Up,Britney Spears,In the Zone,Pop,0:03:54,34
80,Never Get to Hold You (Bonus Track),Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),Pop,0:04:13,44
81,worst behavior,Ariana Grande,Positions,Pop,0:02:04,32
82,brutal,Olivia Rodrigo,SOUR,Pop,0:02:23,65
83,Hurricane,Halsey,Room 93 - EP,Alternative,0:03:43,19
84,Honeymoon,Lana Del Rey,Honeymoon,Alternative,0:05:50,38
85,Swimming in the Stars,Britney Spears,Swimming in the Stars - Single,Pop,0:03:21,93
86,Bombastic Love,Britney Spears,Britney (Deluxe Version),Pop,0:03:05,36
87,test drive,Ariana Grande,Positions,Pop,0:02:02,53
88,Selfish,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:43,103
89,Run Away with Me,Carly Rae Jepsen,E•MO•TION  (Deluxe),Pop,0:04:11,66
90,"no body, no crime (feat. HAIM)",Taylor Swift,evermore,Alternative,0:03:35,41
91,Showdown,Britney Spears,In the Zone,Pop,0:03:16,124
92,pov,Ariana Grande,Positions,Pop,0:03:21,38
93,Break the Ice,Britney Spears,Blackout,Pop,0:03:16,175
94,Criminal,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:45,87
95,Going Home,The Aces,Under My Influence,Alternative,0:03:55,34
96,Zillionaire,The Aces,Under My Influence,Adult Alternative,0:03:13,
97,Túy Âm (feat. Xesi & Nhật Nguyễn),Masew,Túy Âm (feat. Xesi & Nhật Nguyễn) - Single,Pop,0:03:22,56
98,More,Halsey,Manic,Alternative,0:02:33,45
99,betty,Taylor Swift,folklore,Alternative,0:04:54,53
100,mpg,Phùng Khánh Linh,yesteryear,Pop,0:02:47,25
