Position,Name,Artist,Album,Genre,Time,Plays
1,Your Best American Girl,Mitski,Puberty 2,Indie Rock,0:03:32,167
2,Tears (feat. Caroline Polachek),Charli XCX,Pop 2,Pop,0:04:13,65
3,Love Me More,Mitski,Laurel Hell,Alternative,0:03:32,111
4,Heat Lightning,Mitski,Laurel Hell,Alternative,0:02:51,48
5,Working for the Knife,Mitski,Laurel Hell,Alternative,0:02:38,53
6,detonate,Charli XCX,how i'm feeling now,Pop,0:03:39,78
7,I Bet on Losing Dogs,Mitski,Puberty 2,Indie Rock,0:02:50,41
8,Beg For You (feat. Rina Sawayama),Charli XCX,CRASH,Pop,0:02:48,90
9,forever,Charli XCX,how i'm feeling now,Pop,0:04:03,46
10,Thursday Girl,Mitski,Puberty 2,Indie Rock,0:03:08,51
11,claws,Charli XCX,how i'm feeling now,Pop,0:02:29,50
12,Cross You Out (feat. Sky Ferreira),Charli XCX,Charli,Pop,0:03:28,34
13,i finally understand,Charli XCX,how i'm feeling now,Pop,0:02:31,21
14,Watercolor Eyes (From “Euphoria” An Original HBO Series),Lana Del Rey,Watercolor Eyes (From “Euphoria” An Original HBO Series) - Single,Soundtrack,0:03:31,54
15,7 years,Charli XCX,how i'm feeling now,Pop,0:03:15,15
16,Gone,Charli XCX & Christine and the Queens,Charli,Pop,0:04:06,115
17,IN A DREAM,Troye Sivan,In A Dream - EP,Pop,0:03:49,
18,Cherry,Lana Del Rey,Lust for Life,Alternative,0:03:00,119
19,Thoughts,Charli XCX,Charli,Pop,0:03:11,18
20,New Shapes (feat. Caroline Polachek & Christine and the Queens),Charli XCX,CRASH,Pop,0:03:20,37
21,Fireworks,Mitski,Puberty 2,Indie Rock,0:02:37,17
22,A Burning Hill,Mitski,Puberty 2,Indie Rock,0:01:49,94
23,Cry for You,September,September,Dance,0:03:28,32
24,White Mercedes,Charli XCX,Charli,Pop,0:03:23,29
25,Click (feat. Kim Petras & Tommy Cash),Charli XCX,Charli,Pop,0:03:53,28
26,Silver Cross,Charli XCX,Charli,Pop,0:03:28,19
27,My Body's Made of Crushed Little Stars,Mitski,Puberty 2,Indie Rock,0:01:56,19
