Position,Name,Artist,Album,Year,Genre,Time,Plays
1,Your Best American Girl,Mitski,Puberty 2,2016,Indie Rock,0:03:32,213
2,claws,Charli XCX,how i'm feeling now,2020,Pop,0:02:29,114
3,Used To Know Me,Charli XCX,CRASH,2022,Pop,0:02:25,132
4,Dancing On My Own,Robyn,"Body Talk, Pt. 1",2010,Electronic,0:04:45,91
5,A Burning Hill,Mitski,Puberty 2,2016,Indie Rock,0:01:49,178
6,IN A DREAM,Troye Sivan,In A Dream (2020) - EP,2020,Pop,0:03:49,56
7,Beg For You (feat. Rina Sawayama),Charli XCX,CRASH,2022,Pop,0:02:48,122
8,Constant Repeat,Charli XCX,CRASH,2022,Pop,0:03:09,103
9,I Bet on Losing Dogs,Mitski,Puberty 2,2016,Indie Rock,0:02:50,60
10,Tears (feat. Caroline Polachek),Charli XCX,Pop 2,2017,Pop,0:04:13,102
11,Love Me More,Mitski,Laurel Hell,2022,Alternative,0:03:32,138
12,Baby,Charli XCX,CRASH,2022,Pop,0:02:39,168
13,Lightning,Charli XCX,CRASH,2022,Pop,0:03:57,107
14,Working for the Knife,Mitski,Laurel Hell,2021,Alternative,0:02:38,61
15,New Shapes (feat. Caroline Polachek & Christine and the Queens),Charli XCX,CRASH,2021,Pop,0:03:20,68
16,Silver Cross,Charli XCX,Charli,2019,Pop,0:03:28,76
17,Heat Lightning,Mitski,Laurel Hell,2021,Alternative,0:02:51,61
18,Phải Lòng Anh,MIN,50/50,2022,Pop,0:03:47,37
19,I Can See the Future,Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:56,39
20,detonate,Charli XCX,how i'm feeling now,2020,Pop,0:03:39,97
21,I Will,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:54,74
22,Summer Girl (Bonus Track),HAIM,"Women In Music, Pt. III (Expanded Edition)",2019,Alternative,0:03:25,95
23,Happy,Mitski,Puberty 2,2016,Indie Rock,0:03:40,35
24,Yuck,Charli XCX,CRASH,2022,Pop,0:02:18,127
25,Warm Blood,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:04:13,75
26,Move Me,Charli XCX,CRASH,2022,Pop,0:02:27,52
27,White Mustang,Lana Del Rey,Lust for Life,2017,Alternative,0:02:44,246
28,I Know Alone,HAIM,"Women In Music, Pt. III (Expanded Edition)",2020,Alternative,0:03:46,105
29,Now I'm In It (Bonus Track),HAIM,Women In Music Pt. III (Expanded Edition),2019,Alternative,0:03:24,59
30,In Your Eyes,Jessie Ware,What's Your Pleasure? (The Platinum Pleasure Edition),2020,Pop,0:04:58,100
31,The Sound,Carly Rae Jepsen,Dedicated,2019,Pop,0:02:51,182
32,Good Ones,Charli XCX,CRASH,2021,Pop,0:02:16,80
33,Crack Baby,Mitski,Puberty 2,2016,Indie Rock,0:04:52,38
34,Thursday Girl,Mitski,Puberty 2,2016,Indie Rock,0:03:08,64
35,Crash,Charli XCX,CRASH,2022,Pop,0:02:09,64
36,Sofia,Clairo,Immunity,2019,Alternative,0:03:08,251
37,X (feat. Jeremih),Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:51,20
38,Let’s Get Lost,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:13,66
39,Washing Machine Heart,Mitski,Be the Cowboy,2018,Indie Rock,0:02:08,99
40,Texas Reznikoff,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:12,34
41,forever,Charli XCX,how i'm feeling now,2020,Pop,0:04:03,55
42,Honeymoon,Lana Del Rey,Honeymoon,2015,Alternative,0:05:50,91
43,Twice,Charli XCX,CRASH,2022,Pop,0:03:14,63
44,Angels (feat. Kaash Paige),Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:49,86
45,The Chase,Tinashe,333 (Deluxe),2021,R&B/Soul,0:03:11,30
46,Cry,Carly Rae Jepsen,E•MO•TION: Side B,2016,Pop,0:03:56,144
47,Alewife,Clairo,Immunity,2019,Alternative,0:03:33,137
48,Every Rule,Charli XCX,CRASH,2022,Pop,0:03:03,45
49,State Of Grace (Taylor's Version),Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),2021,Pop,0:04:55,61
50,Party for One,Carly Rae Jepsen,Dedicated,2018,Pop,0:03:03,77
51,Quiet,Camila Cabello,Familia,2022,Pop,0:02:43,67
52,How Can I Not Know What I Need Right Now,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:37,71
53,Undo (Back To My Heart),Tinashe & Wax Motif,333 (Deluxe),2021,R&B/Soul,0:03:17,31
54,Pristine,Snail Mail,Lush,2018,Alternative,0:04:55,46
55,Once More to See You,Mitski,Puberty 2,2016,Indie Rock,0:03:00,34
56,Thoughts,Charli XCX,Charli,2019,Pop,0:03:11,54
57,Used to This,Camila Cabello,Romance,2019,Pop,0:03:30,125
58,Green Light,Lorde,Melodrama,2017,Alternative,0:03:54,121
59,Norman f*****g Rockwell,Lana Del Rey,Norman F*****g Rockwell!,2019,Alternative,0:04:08,106
60,Porsche (feat. MØ),Charli XCX,Pop 2,2017,Pop,0:03:26,96
61,drivers license,Olivia Rodrigo,SOUR,2021,Pop,0:04:02,139
62,7 years,Charli XCX,how i'm feeling now,2020,Pop,0:03:15,24
63,King of My Heart,Taylor Swift,reputation,2017,Pop,0:03:34,102
64,party 4 u,Charli XCX,how i'm feeling now,2020,Pop,0:04:56,34
65,Sorry if I Hurt You,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:41,35
66,Francis Forever,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:29,43
67,Love in the Dark,Adele,25,2015,Pop,0:04:45,96
68,Click (feat. Kim Petras & Tommy Cash),Charli XCX,Charli,2019,Pop,0:03:53,37
69,Selfish Girl,Charli XCX,CRASH (Deluxe),2022,Pop,0:03:14,43
70,Cherry,Lana Del Rey,Lust for Life,2017,Alternative,0:03:00,126
71,Gone,Charli XCX & Christine and the Queens,Charli,2019,Pop,0:04:06,120
72,Breathe On Me,Britney Spears,In the Zone,2003,Pop,0:03:43,181
73,Fireworks,Mitski,Puberty 2,2016,Indie Rock,0:02:37,27
74,Western Wind,Carly Rae Jepsen,Western Wind - Single,2022,Pop,0:03:45,
75,Cross You Out (feat. Sky Ferreira),Charli XCX,Charli,2019,Pop,0:03:28,41
76,If You Lie Down With Me,Lana Del Rey,Blue Banisters,2021,Alternative,0:04:25,90
77,Dan the Dancer,Mitski,Puberty 2,2016,Indie Rock,0:02:25,20
78,I Don't Wanna Know,Charli XCX,Charli,2019,Pop,0:03:05,22
79,everytime,Ariana Grande,Sweetener,2018,Pop,0:02:52,59
80,Impossible,Clairo,Immunity,2019,Alternative,0:03:50,84
81,gold rush,Taylor Swift,evermore (deluxe version),2020,Alternative,0:03:05,22
82,1121,Halsey,"If I Can’t Have Love, I Want Power",2021,Alternative,0:02:42,145
83,Never Get to Hold You (Bonus Track),Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:04:13,93
84,Out of My Head (feat. Tove Lo and ALMA),Charli XCX,Pop 2,2017,Pop,0:03:55,47
85,Lucky,Charli XCX,Pop 2,2017,Pop,0:03:35,110
86,Cruel,The Aces,Under My Influence,2020,Alternative,0:03:15,175
87,listen before i go,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,Alternative,0:04:02,87
88,Bags,Clairo,Immunity,2019,Alternative,0:04:20,143
