Position,Name,Artist,Album,Year,Genre,Time,Plays
1,Your Best American Girl,Mitski,Puberty 2,2016,Indie Rock,0:03:32,207
2,claws,Charli XCX,how i'm feeling now,2020,Pop,0:02:29,107
3,Used To Know Me,Charli XCX,CRASH,2022,Pop,0:02:25,129
4,Constant Repeat,Charli XCX,CRASH,2022,Pop,0:03:09,101
5,Dancing On My Own,Robyn,"Body Talk, Pt. 1",2010,Electronic,0:04:45,89
6,Beg For You (feat. Rina Sawayama),Charli XCX,CRASH,2022,Pop,0:02:48,119
7,A Burning Hill,Mitski,Puberty 2,2016,Indie Rock,0:01:49,172
8,IN A DREAM,Troye Sivan,In A Dream (2020) - EP,2020,Pop,0:03:49,50
9,Love Me More,Mitski,Laurel Hell,2022,Alternative,0:03:32,137
10,Tears (feat. Caroline Polachek),Charli XCX,Pop 2,2017,Pop,0:04:13,99
11,New Shapes (feat. Caroline Polachek & Christine and the Queens),Charli XCX,CRASH,2021,Pop,0:03:20,67
12,Baby,Charli XCX,CRASH,2022,Pop,0:02:39,167
13,I Bet on Losing Dogs,Mitski,Puberty 2,2016,Indie Rock,0:02:50,56
14,Working for the Knife,Mitski,Laurel Hell,2021,Alternative,0:02:38,59
15,Heat Lightning,Mitski,Laurel Hell,2021,Alternative,0:02:51,60
16,Silver Cross,Charli XCX,Charli,2019,Pop,0:03:28,75
17,Lightning,Charli XCX,CRASH,2022,Pop,0:03:57,104
18,detonate,Charli XCX,how i'm feeling now,2020,Pop,0:03:39,96
19,I Will,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:54,73
20,I Can See the Future,Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:56,38
21,Happy,Mitski,Puberty 2,2016,Indie Rock,0:03:40,33
22,Summer Girl (Bonus Track),HAIM,Women In Music Pt. III (Expanded Edition),2019,Alternative,0:03:25,93
23,Good Ones,Charli XCX,CRASH,2021,Pop,0:02:16,80
24,White Mustang,Lana Del Rey,Lust for Life,2017,Alternative,0:02:44,245
25,Warm Blood,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:04:13,73
26,Move Me,Charli XCX,CRASH,2022,Pop,0:02:27,51
27,Yuck,Charli XCX,CRASH,2022,Pop,0:02:18,124
28,Crash,Charli XCX,CRASH,2022,Pop,0:02:09,64
29,Thursday Girl,Mitski,Puberty 2,2016,Indie Rock,0:03:08,61
30,Crack Baby,Mitski,Puberty 2,2016,Indie Rock,0:04:52,37
31,Now I'm In It (Bonus Track),HAIM,Women In Music Pt. III (Expanded Edition),2019,Alternative,0:03:24,58
32,The Sound,Carly Rae Jepsen,Dedicated,2019,Pop,0:02:51,178
33,I Know Alone,HAIM,Women In Music Pt. III (Expanded Edition),2020,Alternative,0:03:46,102
34,Let’s Get Lost,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:13,64
35,Every Rule,Charli XCX,CRASH,2022,Pop,0:03:03,45
36,In Your Eyes,Jessie Ware,What's Your Pleasure? (The Platinum Pleasure Edition),2020,Pop,0:04:58,98
37,Norman f*****g Rockwell,Lana Del Rey,Norman F*****g Rockwell!,2019,Alternative,0:04:08,106
38,Alewife,Clairo,Immunity,2019,Alternative,0:03:33,136
39,X (feat. Jeremih),Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:51,16
40,Honeymoon,Lana Del Rey,Honeymoon,2015,Alternative,0:05:50,89
41,Texas Reznikoff,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:12,32
42,Twice,Charli XCX,CRASH,2022,Pop,0:03:14,62
43,forever,Charli XCX,how i'm feeling now,2020,Pop,0:04:03,53
44,Green Light,Lorde,Melodrama,2017,Alternative,0:03:54,120
45,How Can I Not Know What I Need Right Now,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:37,70
46,Used to This,Camila Cabello,Romance,2019,Pop,0:03:30,124
47,Angels (feat. Kaash Paige),Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:49,84
48,Selfish Girl,Charli XCX,CRASH (Deluxe),2022,Pop,0:03:14,42
49,Once More to See You,Mitski,Puberty 2,2016,Indie Rock,0:03:00,32
50,Love in the Dark,Adele,25,2015,Pop,0:04:45,95
51,Francis Forever,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:29,42
