Position,Name,Artist,Album,Year,Genre,Time,Plays
1,Love Me More,Mitski,Laurel Hell,2022,Alternative,0:03:32,162
2,Summer Girl (Bonus Track),HAIM,"Women In Music, Pt. III (Expanded Edition)",2019,Alternative,0:03:25,109
3,Constant Repeat,Charli XCX,CRASH,2022,Pop,0:03:09,146
4,Used To Know Me,Charli XCX,CRASH,2022,Pop,0:02:25,138
5,Used to This,Camila Cabello,Romance,2019,Pop,0:03:30,136
6,Yuck,Charli XCX,CRASH,2022,Pop,0:02:18,131
7,Baby,Charli XCX,CRASH,2022,Pop,0:02:39,169
8,Hold Me Closer,Elton John & Britney Spears,Hold Me Closer - Single,2017,Pop,0:03:22,120
9,Dancing On My Own,Robyn,"Body Talk, Pt. 1",2010,Electronic,0:04:45,93
10,Your Best American Girl,Mitski,Puberty 2,2016,Indie Rock,0:03:32,217
11,Beg For You (feat. Rina Sawayama),Charli XCX,CRASH,2022,Pop,0:02:48,125
12,Shooting Star,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:03:19,119
13,claws,Charli XCX,how i'm feeling now,2020,Pop,0:02:29,115
14,Tears (feat. Caroline Polachek),Charli XCX,Pop 2,2017,Pop,0:04:13,107
15,Lightning,Charli XCX,CRASH,2022,Pop,0:03:57,108
16,detonate,Charli XCX,how i'm feeling now,2020,Pop,0:03:39,100
17,Sidelines,Phoebe Bridgers,Sidelines - Single,2022,Alternative,0:04:24,121
18,A Burning Hill,Mitski,Puberty 2,2016,Indie Rock,0:01:49,192
19,In Your Eyes,Jessie Ware,What's Your Pleasure? (The Platinum Pleasure Edition),2020,Pop,0:04:58,103
20,White Mustang,Lana Del Rey,Lust for Life,2017,Alternative,0:02:44,265
21,The Sound,Carly Rae Jepsen,Dedicated,2019,Pop,0:02:51,202
22,3 AM,HAIM,"Women In Music, Pt. III (Expanded Edition)",2020,Alternative,0:03:10,54
23,Cry,Carly Rae Jepsen,E•MO•TION: Side B,2016,Pop,0:03:56,158
24,Anti-Hero,Taylor Swift,Midnights (3am Edition),2022,Pop,0:03:20,92
25,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2022,Pop,0:04:45,147
26,Phải Lòng Anh (Dream Ver.),MIN,50/50,2022,Pop,0:03:54,102
27,I Know Alone,HAIM,"Women In Music, Pt. III (Expanded Edition)",2020,Alternative,0:03:46,109
28,Western Wind,Carly Rae Jepsen,Western Wind - Single,2022,Pop,0:03:45,
29,Within,Bcalm & Hoogway,Elements,2021,Old School Rap,0:02:43,
30,Midnight Rain,Taylor Swift,Midnights (3am Edition),2022,Pop,0:02:54,71
31,This Hell,Rina Sawayama,Hold The Girl,2022,Alternative,0:03:56,85
32,could cry just thinkin about you (Full Version),Troye Sivan,could cry just thinkin about you (Full Version) - Single,2021,Pop,0:02:38,103
33,I Will,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:54,80
34,honey,Halsey,"If I Can’t Have Love, I Want Power",2021,Alternative,0:02:53,104
35,angel,Kacey Musgraves,star-crossed,2021,Country,0:02:19,64
36,Good Ones,Charli XCX,CRASH,2021,Pop,0:02:16,85
37,Catch Me In The Air,Rina Sawayama,Hold The Girl,2022,Alternative,0:03:35,84
38,Superlove,Tinashe,Superlove - Single,2016,Pop,0:03:03,94
39,Angels (feat. Kaash Paige),Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:49,88
40,So Nice,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:03:39,92
41,Now I'm In It (Bonus Track),HAIM,Women In Music Pt. III (Expanded Edition),2019,Alternative,0:03:24,64
42,Sofia,Clairo,Immunity,2019,Alternative,0:03:08,254
43,Boys,Sky Ferreira,"Night Time, My Time",2013,Pop,0:04:40,74
44,Andromeda,Weyes Blood,Titanic Rising,2019,Alternative,0:04:40,76
45,Go Find Yourself or Whatever,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:04:44,72
46,Beach House,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:02:29,76
47,I Can See the Future,Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:56,41
48,Anxious (Bonus Track),Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:02:57,74
49,How Can I Not Know What I Need Right Now,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:37,73
50,Minor Feelings,Rina Sawayama,Hold The Girl,2022,Alternative,0:02:00,76
51,tolerate it,Taylor Swift,evermore (deluxe version),2020,Alternative,0:04:05,75
52,IN A DREAM,Troye Sivan,In A Dream (2020) - EP,2020,Pop,0:03:49,58
53,Silver Cross,Charli XCX,Charli,2019,Pop,0:03:28,78
