Position,Name,Artist,Album,Genre,Time,Plays
1,Your Best American Girl,Mitski,Puberty 2,Indie Rock,0:03:32,164
2,Love Me More,Mitski,Laurel Hell,Alternative,0:03:32,111
3,Tears (feat. Caroline Polachek),Charli XCX,Pop 2,Pop,0:04:13,65
4,Working for the Knife,Mitski,Laurel Hell,Alternative,0:02:38,53
5,Heat Lightning,Mitski,Laurel Hell,Alternative,0:02:51,48
6,detonate,Charli XCX,how i'm feeling now,Pop,0:03:39,77
7,forever,Charli XCX,how i'm feeling now,Pop,0:04:03,46
8,claws,Charli XCX,how i'm feeling now,Pop,0:02:29,50
9,Thursday Girl,Mitski,Puberty 2,Indie Rock,0:03:08,49
10,7 years,Charli XCX,how i'm feeling now,Pop,0:03:15,15
11,Gone,Charli XCX & Christine and the Queens,Charli,Pop,0:04:06,115
12,Beg For You (feat. Rina Sawayama),Charli XCX,CRASH,Pop,0:02:48,90
13,Watercolor Eyes (From “Euphoria” An Original HBO Series),Lana Del Rey,Watercolor Eyes (From “Euphoria” An Original HBO Series) - Single,Soundtrack,0:03:31,54
14,I Bet on Losing Dogs,Mitski,Puberty 2,Indie Rock,0:02:50,38
15,New Shapes (feat. Caroline Polachek & Christine and the Queens),Charli XCX,CRASH,Pop,0:03:20,37
16,White Mercedes,Charli XCX,Charli,Pop,0:03:23,29
17,Cross You Out (feat. Sky Ferreira),Charli XCX,Charli,Pop,0:03:28,34
18,Click (feat. Kim Petras & Tommy Cash),Charli XCX,Charli,Pop,0:03:53,27
19,Silver Cross,Charli XCX,Charli,Pop,0:03:28,19
20,enemy,Charli XCX,how i'm feeling now,Pop,0:03:42,13
21,Thoughts,Charli XCX,Charli,Pop,0:03:11,18
22,Backseat (feat. Carly Rae Jepsen),Charli XCX,Pop 2,Pop,0:03:58,84
23,Out of My Head (feat. Tove Lo and ALMA),Charli XCX,Pop 2,Pop,0:03:55,37
24,party 4 u,Charli XCX,how i'm feeling now,Pop,0:04:56,15
25,i finally understand,Charli XCX,how i'm feeling now,Pop,0:02:31,20
26,I Don't Wanna Know,Charli XCX,Charli,Pop,0:03:05,11
27,The Blackest Day,Lana Del Rey,Honeymoon,Alternative,0:06:05,101
28,White Mustang,Lana Del Rey,Lust for Life,Alternative,0:02:44,183
29,Cherry,Lana Del Rey,Lust for Life,Alternative,0:03:00,118
30,Warm (feat. HAIM),Charli XCX,Charli,Pop,0:03:45,15
31,A Burning Hill,Mitski,Puberty 2,Indie Rock,0:01:49,93
32,Fireworks,Mitski,Puberty 2,Indie Rock,0:02:37,15
33,tolerate it,Taylor Swift,evermore (deluxe version),Alternative,0:04:05,46
34,22 (Taylor's Version),Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0:03:50,47
35,The Only Heartbreaker,Mitski,Laurel Hell,Alternative,0:03:04,32
36,February 2017 (feat. Clairo & Yaeji),Charli XCX,Charli,Pop,0:02:33,25
37,pink diamond,Charli XCX,how i'm feeling now,Pop,0:02:04,14
38,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0:10:13,69
39,Official,Charli XCX,Charli,Pop,0:03:04,10
40,Blame It On Your Love (feat. Lizzo),Charli XCX,Charli,Pop,0:03:11,20
41,Next Level Charli,Charli XCX,Charli,Pop,0:02:37,24
42,Love in the Dark,Adele,25,Pop,0:04:45,75
43,Begin Again (Taylor's Version),Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0:03:58,30
44,The Sound,Carly Rae Jepsen,Dedicated,Pop,0:02:51,154
45,Porsche (feat. MØ),Charli XCX,Pop 2,Pop,0:03:26,41
46,"I Got It (feat. Brooke Candy, CupcakKe and Pabllo Vittar)",Charli XCX,Pop 2,Pop,0:03:51,29
47,anthems,Charli XCX,how i'm feeling now,Pop,0:02:51,11
48,1999,Charli XCX & Troye Sivan,Charli,Pop,0:03:09,89
49,Style,Taylor Swift,1989 (Deluxe Edition),Pop,0:03:51,
50,Thunder,Lana Del Rey,Blue Banisters,Alternative,0:04:19,78
51,abcdefu,GAYLE,abcdefu - Single,Pop,0:02:48,
52,First Love / Late Spring,Mitski,Bury Me At Makeout Creek,Alternative,0:04:38,77
53,Georgia,Phoebe Bridgers,Stranger in the Alps,Alternative,0:04:07,8
54,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:35,91
55,You Right (Extended),Doja Cat & The Weeknd,Planet Her (Deluxe),Pop,0:04:06,69
56,Once More to See You,Mitski,Puberty 2,Indie Rock,0:03:00,7
57,Love song,Lana Del Rey,Norman F*****g Rockwell!,Alternative,0:03:49,101
58,A Loving Feeling,Mitski,Puberty 2,Indie Rock,0:01:32,19
59,My Body's Made of Crushed Little Stars,Mitski,Puberty 2,Indie Rock,0:01:56,17
60,Gimmie Love,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),Pop,0:03:22,18
61,Radio,Lana Del Rey,Born to Die (Deluxe Version),Alternative,0:03:34,33
62,visions,Charli XCX,how i'm feeling now,Pop,0:03:49,9
63,c2.0,Charli XCX,how i'm feeling now,Pop,0:03:40,9
64,"Shake It (feat. Big Freedia, CupcakKe, Brooke Candy & Pabllo Vittar)",Charli XCX,Charli,Pop,0:04:35,8
65,How You Get the Girl,Taylor Swift,1989 (Deluxe Edition),Pop,0:04:07,
66,I Can See the Future,Tinashe,333,R&B/Soul,0:02:56,26
67,Shame,Mitski,"Retired from Sad, New Career in Business",Alternative Folk,0:02:24,15
68,There's Too Much Love,Belle and Sebastian,Fold Your Hands Child You Walk Like a Peasant,Alternative,0:03:27,11
69,Warm Blood,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),Pop,0:04:13,34
70,Cry for You,September,September,Dance,0:03:28,32
71,Francis Forever,Mitski,Bury Me At Makeout Creek,Alternative,0:02:29,28
72,Texas Reznikoff,Mitski,Bury Me At Makeout Creek,Alternative,0:02:12,16
73,Invitation,Britney Spears,Glory (Deluxe),Pop,0:03:20,75
