Position,Name,Artist,Album,Year,Genre,Time,Plays
1,Your Best American Girl,Mitski,Puberty 2,2016,Indie Rock,0:03:32,206
2,Beg For You (feat. Rina Sawayama),Charli XCX,CRASH,2022,Pop,0:02:48,117
3,Dancing On My Own,Robyn,"Body Talk, Pt. 1",2010,Electronic,0:04:45,87
4,Working for the Knife,Mitski,Laurel Hell,2021,Alternative,0:02:38,58
5,A Burning Hill,Mitski,Puberty 2,2016,Indie Rock,0:01:49,170
6,Used To Know Me,Charli XCX,CRASH,2022,Pop,0:02:25,119
7,Constant Repeat,Charli XCX,CRASH,2022,Pop,0:03:09,92
8,Baby,Charli XCX,CRASH,2022,Pop,0:02:39,164
9,Love Me More,Mitski,Laurel Hell,2022,Alternative,0:03:32,134
10,detonate,Charli XCX,how i'm feeling now,2020,Pop,0:03:39,94
11,I Can See the Future,Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:56,38
12,Tears (feat. Caroline Polachek),Charli XCX,Pop 2,2017,Pop,0:04:13,96
13,Silver Cross,Charli XCX,Charli,2019,Pop,0:03:28,75
14,Heat Lightning,Mitski,Laurel Hell,2021,Alternative,0:02:51,58
15,IN A DREAM,Troye Sivan,In A Dream (2020) - EP,2020,Pop,0:03:49,44
16,New Shapes (feat. Caroline Polachek & Christine and the Queens),Charli XCX,CRASH,2021,Pop,0:03:20,62
17,I Bet on Losing Dogs,Mitski,Puberty 2,2016,Indie Rock,0:02:50,49
18,claws,Charli XCX,how i'm feeling now,2020,Pop,0:02:29,87
19,Summer Girl (Bonus Track),HAIM,Women In Music Pt. III (Expanded Edition),2019,Alternative,0:03:25,93
20,Thursday Girl,Mitski,Puberty 2,2016,Indie Rock,0:03:08,59
21,I Will,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:54,70
22,Warm Blood,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:04:13,70
23,Lightning,Charli XCX,CRASH,2022,Pop,0:03:57,91
24,Good Ones,Charli XCX,CRASH,2021,Pop,0:02:16,76
25,Yuck,Charli XCX,CRASH,2022,Pop,0:02:18,119
26,Let’s Get Lost,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:13,61
27,Happy,Mitski,Puberty 2,2016,Indie Rock,0:03:40,26
28,Crash,Charli XCX,CRASH,2022,Pop,0:02:09,57
29,Crack Baby,Mitski,Puberty 2,2016,Indie Rock,0:04:52,32
30,forever,Charli XCX,how i'm feeling now,2020,Pop,0:04:03,53
31,You Right (Extended),Doja Cat & The Weeknd,Planet Her (Deluxe),2021,Pop,0:04:06,75
32,Pristine,Snail Mail,Lush,2018,Alternative,0:04:55,44
33,The Sound,Carly Rae Jepsen,Dedicated,2019,Pop,0:02:51,176
34,How Can I Not Know What I Need Right Now,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:37,69
35,Twice,Charli XCX,CRASH,2022,Pop,0:03:14,60
36,Selfish Girl,Charli XCX,CRASH (Deluxe),2022,Pop,0:03:14,41
37,Thoughts,Charli XCX,Charli,2019,Pop,0:03:11,52
38,X (feat. Jeremih),Tinashe,333,2021,R&B/Soul,0:02:51,
39,Impossible,Clairo,Immunity,2019,Alternative,0:03:50,82
40,Undo (Back To My Heart),Tinashe & Wax Motif,333 (Deluxe),2021,R&B/Soul,0:03:17,27
41,Move Me,Charli XCX,CRASH,2022,Pop,0:02:27,45
42,Used to This,Camila Cabello,Romance,2019,Pop,0:03:30,121
43,Click (feat. Kim Petras & Tommy Cash),Charli XCX,Charli,2019,Pop,0:03:53,35
44,White Mustang,Lana Del Rey,Lust for Life,2017,Alternative,0:02:44,228
45,Texas Reznikoff,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:12,28
46,Sofia,Clairo,Immunity,2019,Alternative,0:03:08,242
47,Every Rule,Charli XCX,CRASH,2022,Pop,0:03:03,41
48,Love in the Dark,Adele,25,2015,Pop,0:04:45,94
49,I Didn’t Just Come Here To Dance,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:39,32
50,Let Me Down Slowly,Tinashe,333 (Deluxe),2021,R&B/Soul,0:03:05,19
51,Cry for You,September,September,2006,Dance,0:03:28,36
52,party 4 u,Charli XCX,how i'm feeling now,2020,Pop,0:04:56,28
53,Naturally,Tinashe,333 (Deluxe),2022,R&B/Soul,0:03:14,9
54,Green Light,Lorde,Melodrama,2017,Alternative,0:03:54,115
55,Black Heart,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:02:56,53
56,Gimmie Love,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:22,30
57,Backseat (feat. Carly Rae Jepsen),Charli XCX,Pop 2,2017,Pop,0:03:58,91
58,Cross You Out (feat. Sky Ferreira),Charli XCX,Charli,2019,Pop,0:03:28,38
59,Style,Taylor Swift,1989 (Deluxe Edition),2014,Pop,0:03:51,
60,The Chase,Tinashe,333 (Deluxe),2021,R&B/Soul,0:03:11,18
61,Emotion,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:17,45
62,In Your Eyes,Jessie Ware,What's Your Pleasure? (The Platinum Pleasure Edition),2020,Pop,0:04:58,61
63,Cry,Carly Rae Jepsen,E•MO•TION: Side B,2016,Pop,0:03:56,120
64,Francis Forever,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:29,36
65,I Don't Wanna Know,Charli XCX,Charli,2019,Pop,0:03:05,18
66,Cherry,Lana Del Rey,Lust for Life,2017,Alternative,0:03:00,123
67,What You Think About Me,Charli XCX,CRASH (Deluxe),2022,Pop,0:03:04,30
68,i finally understand,Charli XCX,how i'm feeling now,2020,Pop,0:02:31,24
69,listen before i go,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,Alternative,0:04:02,82
70,Dan the Dancer,Mitski,Puberty 2,2016,Indie Rock,0:02:25,16
71,The Only Heartbreaker,Mitski,Laurel Hell,2021,Alternative,0:03:04,38
72,7 years,Charli XCX,how i'm feeling now,2020,Pop,0:03:15,19
73,My Body's Made of Crushed Little Stars,Mitski,Puberty 2,2016,Indie Rock,0:01:56,28
74,A Loving Feeling,Mitski,Puberty 2,2016,Indie Rock,0:01:32,28
75,Making The Most Of The Night,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:58,31
76,Party for One,Carly Rae Jepsen,Dedicated,2018,Pop,0:03:03,70
77,1999,Charli XCX & Troye Sivan,Charli,2019,Pop,0:03:09,95
78,Angels (feat. Kaash Paige),Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:49,16
79,Thunder,Lana Del Rey,Blue Banisters,2021,Alternative,0:04:19,85
80,Perfect Places,Lorde,Melodrama,2017,Alternative,0:03:41,149
81,Sorry if I Hurt You,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:41,28
82,The Blackest Day,Lana Del Rey,Honeymoon,2015,Alternative,0:06:05,110
83,Superlove,Tinashe,Superlove - Single,2016,Pop,0:03:03,79
84,Never Get to Hold You (Bonus Track),Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:04:13,88
85,Cruel,The Aces,Under My Influence,2020,Alternative,0:03:15,113
86,Honeymoon,Lana Del Rey,Honeymoon,2015,Alternative,0:05:50,83
87,There's Too Much Love,Belle and Sebastian,Fold Your Hands Child You Walk Like a Peasant,2000,Alternative,0:03:27,21
88,STUD,Troye Sivan,In A Dream (2020) - EP,2020,Pop,0:03:29,17
89,Your Type,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:19,46
90,Norman f*****g Rockwell,Lana Del Rey,Norman F*****g Rockwell!,2019,Alternative,0:04:08,101
91,Fireworks,Mitski,Puberty 2,2016,Indie Rock,0:02:37,21
92,Watercolor Eyes (From “Euphoria” An Original HBO Series),Lana Del Rey,Watercolor Eyes (From “Euphoria” An Original HBO Series) - Single,2022,Soundtrack,0:03:31,56
93,Gone,Charli XCX & Christine and the Queens,Charli,2019,Pop,0:04:06,117
94,Out of My Head (feat. Tove Lo and ALMA),Charli XCX,Pop 2,2017,Pop,0:03:55,41
95,Porsche (feat. MØ),Charli XCX,Pop 2,2017,Pop,0:03:26,69
96,I Know Alone,HAIM,Women In Music Pt. III (Expanded Edition),2020,Alternative,0:03:46,89
97,enemy,Charli XCX,how i'm feeling now,2020,Pop,0:03:42,16
98,Don't Wanna,HAIM,Women In Music Pt. III (Expanded Edition),2020,Alternative,0:03:21,7
99,Let Me Love You (feat. Lil Wayne),Ariana Grande,Dangerous Woman,2016,Pop,0:03:43,75
100,Chinese Satellite,Phoebe Bridgers,Punisher,2020,Alternative,0:03:37,122
