Position,Name,Artist,Album,Genre,Time,Plays
1,Yosemite,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:04,155
2,positions,Ariana Grande,Positions,Pop,0:02:52,131
3,drivers license,Olivia Rodrigo,SOUR,Pop,0:04:02,111
4,Let Me Love You Like a Woman,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:20,78
5,Blue Banisters,Lana Del Rey,Blue Banisters,Alternative,0:04:53,65
6,'tis the damn season,Taylor Swift,evermore,Alternative,0:03:49,
7,Wildflower Wildfire,Lana Del Rey,Blue Banisters,Alternative,0:04:47,63
8,Radar,Britney Spears,Blackout,Pop,0:03:49,116
9,Chemtrails Over the Country Club,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:31,74
10,Gimme More,Britney Spears,Blackout,Pop,0:04:11,216
11,Text Book,Lana Del Rey,Blue Banisters,Alternative,0:05:03,63
12,For Free (feat. Zella Day & Weyes Blood),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:11,77
13,motive,Ariana Grande & Doja Cat,Positions,Pop,0:02:47,73
14,deja vu,Olivia Rodrigo,SOUR,Pop,0:03:35,114
15,Arcadia,Lana Del Rey,Blue Banisters,Alternative,0:04:23,100
16,willow,Taylor Swift,evermore,Alternative,0:03:34,
17,exile (feat. Bon Iver),Taylor Swift,folklore,Alternative,0:04:45,
18,Kyoto,Phoebe Bridgers,Punisher,Alternative,0:03:04,126
19,I'm a Slave 4 U,Britney Spears,Britney (Deluxe Version),Pop,0:03:23,158
20,Strangers (feat. Lauren Jauregui),Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:41,93
21,Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),Country,0:03:55,24
22,White Dress,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:33,68
23,Dark But Just a Game,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:55,59
24,Going Home,The Aces,Under My Influence,Alternative,0:03:55,57
25,Solar Power,Lorde,Solar Power,Alternative,0:03:12,22
26,Thinking Bout You,Ariana Grande,Dangerous Woman,Pop,0:03:20,112
27,bad idea,Ariana Grande,"thank u, next",Pop,0:04:27,110
28,nasty,Ariana Grande,Positions,Pop,0:03:20,81
29,(I Got That) Boom Boom [feat. Ying Yang Twins],Britney Spears featuring Ying Yang Twins,In the Zone,Pop,0:04:49,95
30,Hold It Against Me,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:49,131
31,Bags,Clairo,Immunity,Alternative,0:04:20,113
32,Doin' Time,Lana Del Rey,Norman F*****g Rockwell!,Pop,0:03:22,96
33,Undo (Back To My Heart),Tinashe & Wax Motif,333,R&B/Soul,0:03:17,94
34,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:35,84
35,in my head,Ariana Grande,"thank u, next",Pop,0:03:42,110
36,Freakshow,Britney Spears,Blackout,Pop,0:02:55,229
37,Confetti (feat. Saweetie),Little Mix,Confetti (feat. Saweetie) - Single,Pop,0:03:05,180
38,I Know the End,Phoebe Bridgers,Punisher,Alternative,0:05:44,65
39,Not All Who Wander Are Lost,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:07,52
40,Break the Ice,Britney Spears,Blackout,Pop,0:03:16,193
41,Honeymoon,Lana Del Rey,Honeymoon,Alternative,0:05:50,58
42,Don't Keep Me Waiting,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:21,108
43,cowboy like me,Taylor Swift,evermore,Alternative,0:04:35,
44,Happier Than Ever,Billie Eilish,Happier Than Ever,Alternative,0:04:58,73
45,I Think He Knows,Taylor Swift,Lover,Pop,0:02:53,117
46,34+35,Ariana Grande,Positions,Pop,0:02:53,83
47,gold rush,Taylor Swift,evermore,Alternative,0:03:05,
48,tolerate it,Taylor Swift,evermore,Alternative,0:04:05,
49,Zillionaire,The Aces,Under My Influence,Alternative,0:03:13,28
50,Rain On Me,Lady Gaga & Ariana Grande,Chromatica,Pop,0:03:02,105
51,Nobody,Mitski,Be the Cowboy,Indie Rock,0:03:13,114
52,White Mustang,Lana Del Rey,Lust for Life,Alternative,0:02:44,150
53,Shadow,Britney Spears,In the Zone,Pop,0:03:44,103
54,good 4 u,Olivia Rodrigo,SOUR,Pop,0:02:58,131
55,In My Feelings,Lana Del Rey,Lust for Life,Alternative,0:03:58,117
56,Daydream,The Aces,Under My Influence,Alternative,0:02:30,43
57,Breaking Up Slowly (feat. Nikki Lane),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:02:57,57
58,WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion) - Single,Hip-Hop/Rap,0:03:07,111
59,august,Taylor Swift,folklore,Alternative,0:04:21,
60,7 rings,Ariana Grande,"thank u, next",Pop,0:02:58,80
61,Everytime,Britney Spears,In the Zone,Pop,0:03:50,126
62,Perfect Places,Lorde,Melodrama,Alternative,0:03:41,121
63,Chinese Satellite,Phoebe Bridgers,Punisher,Alternative,0:03:37,83
64,"thank u, next",Ariana Grande,"thank u, next",Pop,0:03:27,97
65,Wild at Heart,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:06,58
66,brutal,Olivia Rodrigo,SOUR,Pop,0:02:23,93
67,IN A DREAM,Troye Sivan,In A Dream - EP,Pop,0:03:49,142
68,Breathe On Me,Britney Spears,In the Zone,Pop,0:03:43,146
69,Mr. Perfectly Fine (Taylor’s Version) [From The Vault],Taylor Swift,Fearless (Taylor's Version),Country,0:04:37,57
70,Toxic,Britney Spears,In the Zone,Pop,0:03:18,211
71,my hair,Ariana Grande,Positions,Pop,0:02:38,76
72,Gone,Charli XCX & Christine and the Queens,Charli,Pop,0:04:06,94
73,champagne problems,Taylor Swift,evermore,Alternative,0:04:04,
74,Dealer,Lana Del Rey,Blue Banisters,Alternative,0:04:34,62
75,Cruel Summer,Taylor Swift,Lover,Pop,0:02:58,154
76,Hurricane,Halsey,Room 93 - EP,Alternative,0:03:43,27
77,Living Legend,Lana Del Rey,Blue Banisters,Alternative,0:04:01,69
78,Dance Till We Die,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:03,55
79,Criminal,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:45,103
80,Hustler,Josef Salvat,Night Swim (Deluxe),Pop,0:03:54,34
81,Backseat (feat. Carly Rae Jepsen),Charli XCX,Pop 2,Pop,0:03:58,65
82,"Sweeter Than Fiction (From ""One Chance"")",Taylor Swift,"Sweeter Than Fiction (From ""One Chance"") - Single",Country,0:03:54,100
83,seven,Taylor Swift,folklore,Alternative,0:03:28,
84,Piece of Me,Britney Spears,Blackout,Pop,0:03:32,102
85,test drive,Ariana Grande,Positions,Pop,0:02:02,68
