Position,Name,Artist,Album,Year,Genre,Time,Plays
1,Just For You,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:06,107
2,hey you got drugs?,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:04:18,108
3,A&W,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:07:13,82
4,MIND YOUR BUSINESS,will.i.am & Britney Spears,MIND YOUR BUSINESS - Single,2023,Pop,0:03:15,91
5,Maroon,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:38,62
6,I’m to Blame,Tove Lo,Dirt Femme (Extended Cut),2022,Dance,0:03:20,7
7,Call On Me,SG Lewis & Tove Lo,AudioLust & HigherLove,2022,Electronic,0:03:16,
8,Candy Necklace (feat. Jon Batiste),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:05:14,73
9,American Teenager,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:04:18,210
10,Sweet,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:03:35,50
11,Fingertips,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:05:48,55
12,Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven - Single,2023,Alternative,0:03:29,67
13,River,Miley Cyrus,Endless Summer Vacation,2023,Pop,0:02:42,70
14,Fishtail,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:04:02,53
15,honey,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:02:53,63
16,Waiting For It,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:19,63
17,Kintsugi,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:06:18,56
18,Peppers (feat. Tommy Genesis),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:04:08,52
19,stranger,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:54,62
20,Tastes Like You,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:12,63
21,Pineapple Slice,Tove Lo & SG Lewis,Dirt Femme (Extended Cut),2022,Dance,0:02:56,85
22,Midnight Dreams,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:12,59
23,Selfish,Britney Spears,Femme Fatale (Deluxe Version),2011,Pop,0:03:43,201
24,Midnight Rain,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:02:54,31
25,"Paris, Texas (feat. SYML)",Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:03:26,57
26,Human Being (feat. Zhala),Robyn,Honey,2018,Pop,0:03:46,65
27,I got it bad,Addison Rae,AR - EP,2023,Pop,0:02:52,65
28,Unwritten,Natasha Bedingfield,Unwritten,2004,Pop,0:04:19,69
29,Honey,Robyn,Honey,2018,Pop,0:04:54,52
30,Let The Light In (feat. Father John Misty),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:04:38,47
31,Moments,Tove Lo,Queen of the Clouds (Blueprint Edition),2014,Alternative,0:03:22,54
32,Yuck,Charli XCX,CRASH (Deluxe),2017,Pop,0:02:18,59
33,Margaret (feat. Bleachers),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:05:39,50
34,Labyrinth,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:04:07,43
35,Taco Truck x VB,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:05:53,43
36,True Romance,Tove Lo,Dirt Femme (Extended Cut),2022,Dance,0:04:05,10
37,Bends,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:03:15,113
38,Love On Top,Beyoncé,4 (Expanded Edition),2011,Pop,0:04:27,64
39,Rose Colored Lenses,Miley Cyrus,Endless Summer Vacation,2023,Pop,0:03:43,54
40,True Disaster,Tove Lo,Lady Wood,2016,Alternative,0:03:44,49
41,I've Loved You For So Long,The Aces,I've Loved You For So Long,2023,Alternative,0:02:56,
42,Question...?,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:30,31
43,Shadow,Carly Rae Jepsen,The Loveliest Time,2023,Pop,0:02:49,49
44,Boys Like You,ITZY,Boys Like You - Single,2022,Pop,0:03:43,58
45,Quiet,Camila Cabello,Familia,2022,Pop,0:02:43,140
46,Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams (Taylor's Version) - Single,2021,Pop,0:03:40,
47,Aeroplanes,Carly Rae Jepsen,The Loveliest Time,2023,Pop,0:03:20,51
48,Paris,Taylor Swift,Midnights (3am Edition),2022,Pop,0:03:16,
49,Vigilante Shit,Taylor Swift,Midnights (3am Edition),2022,Pop,0:02:44,
50,Gimmie Love,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:22,85
51,I like u,Tove Lo,Dirt Femme (Extended Cut),2023,Pop,0:03:10,26
52,Ever Again,Robyn,Honey,2018,Pop,0:04:24,38
53,Intuition,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:12,46
54,Don't Write Me Off,Hugh Grant,Music and Lyrics,2007,Soundtrack,0:02:30,49
55,sao anh không hiểu?,Phùng Khánh Linh,yesteryear (deluxe),2020,Pop,0:03:20,67
56,What Was I Made For?,Billie Eilish,Barbie The Album,2023,Alternative,0:03:42,45
