Position,Name,Artist,Album,Year,Genre,Time,Plays
1,hey you got drugs?,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:04:18,77
2,A&W,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:07:13,67
3,American Teenager,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:04:18,195
4,Human Being (feat. Zhala),Robyn,Honey,2018,Pop,0:03:46,63
5,I’m to Blame,Tove Lo,Dirt Femme,2022,Pop,0:03:20,51
6,honey,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:02:53,50
7,Yuck,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:18,56
8,Unwritten,Natasha Bedingfield,Unwritten,2004,Pop,0:04:19,62
9,Love On Top,Beyoncé,4 (Expanded Edition),2011,Pop,0:04:27,61
10,stranger,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:54,43
11,Honey,Robyn,Honey,2018,Pop,0:04:54,43
12,Boys Like You,ITZY,Boys Like You - Single,2022,Pop,0:03:43,49
13,sao anh không hiểu?,Phùng Khánh Linh,yesteryear (deluxe),2020,Pop,0:03:20,60
14,You asked for this,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:04:25,33
15,Habits (Stay High),Tove Lo,Queen of the Clouds (Blueprint Edition),2013,Alternative,0:03:29,94
16,Hot As Ice,Britney Spears,Blackout,2007,Pop,0:03:16,101
17,Bloom,Troye Sivan,Bloom,2018,Pop,0:03:42,104
18,bitches,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:02:17,33
19,River,Miley Cyrus,Endless Summer Vacation,2023,Pop,0:02:42,33
20,The Grants,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:04:55,39
21,Holy (Til You Let Me Go),Rina Sawayama,Hold The Girl,2022,Alternative,0:03:19,110
22,Midnight Rain,Taylor Swift,Midnights (3am Edition),2022,Pop,0:02:54,88
23,Crash,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:09,30
24,Smoke Signals,Phoebe Bridgers,Stranger in the Alps,2017,Alternative,0:05:24,48
25,True Disaster,Tove Lo,Lady Wood,2016,Alternative,0:03:44,28
26,Paris,Taylor Swift,Midnights (3am Edition),2022,Pop,0:03:16,46
27,Constant Repeat,Charli XCX,CRASH (Deluxe),2022,Pop,0:03:09,27
28,Ya'aburnee,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:03:08,26
29,Vigilante Shit,Taylor Swift,Midnights (3am Edition),2022,Pop,0:02:44,50
30,Baby,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:39,24
31,my tears ricochet,Taylor Swift,folklore,2020,Alternative,0:04:15,
32,Shadow,Britney Spears,In the Zone,2003,Pop,0:03:44,153
