Position,Name,Artist,Album,Year,Genre,Time,Plays
1,hey you got drugs?,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:04:18,77
2,A&W,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,,Pop,0:07:13,57
3,American Teenager,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:04:18,195
4,Human Being (feat. Zhala),Robyn,Honey,2018,Pop,0:03:46,63
5,I’m to Blame,Tove Lo,Dirt Femme,2022,Pop,0:03:20,51
6,Yuck,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:18,56
7,Unwritten,Natasha Bedingfield,Unwritten,2004,Pop,0:04:19,62
8,Love On Top,Beyoncé,4 (Expanded Edition),2011,Pop,0:04:27,60
9,Honey,Robyn,Honey,2018,Pop,0:04:54,43
10,Boys Like You,ITZY,Boys Like You - Single,2022,Pop,0:03:43,49
11,stranger,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:54,43
12,You asked for this,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:04:25,33
13,sao anh không hiểu?,Phùng Khánh Linh,yesteryear (deluxe),2020,Pop,0:03:20,59
14,Habits (Stay High),Tove Lo,Queen of the Clouds (Blueprint Edition),2013,Alternative,0:03:29,94
15,Hot As Ice,Britney Spears,Blackout,2007,Pop,0:03:16,101
16,honey,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:02:53,49
17,Bloom,Troye Sivan,Bloom,2018,Pop,0:03:42,104
18,bitches,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:02:17,33
19,River,Miley Cyrus,Endless Summer Vacation,2023,Pop,0:02:42,33
20,Holy (Til You Let Me Go),Rina Sawayama,Hold The Girl,2022,Alternative,0:03:19,110
21,Smoke Signals,Phoebe Bridgers,Stranger in the Alps,2017,Alternative,0:05:24,48
22,Paris,Taylor Swift,Midnights (3am Edition),2022,Pop,0:03:16,46
23,Crash,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:09,28
24,Baby,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:39,24
25,The Grants,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,,Pop,0:04:55,29
26,my tears ricochet,Taylor Swift,folklore,2020,Alternative,0:04:15,
27,Shadow,Britney Spears,In the Zone,2003,Pop,0:03:44,153
28,Ya'aburnee,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:03:08,26
29,Handstand,Miley Cyrus,Endless Summer Vacation,2023,Pop,0:03:25,26
30,Constant Repeat,Charli XCX,CRASH (Deluxe),2022,Pop,0:03:09,25
31,True Romance,Tove Lo,Dirt Femme,2022,Pop,0:04:05,71
32,The Happiest Girl,BLACKPINK,BORN PINK,2022,K-Pop,0:03:42,30
33,True Disaster,Tove Lo,Lady Wood,2016,Alternative,0:03:44,28
34,Emotion,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:17,73
35,Ever Again,Robyn,Honey,2018,Pop,0:04:24,19
36,Karma,Taylor Swift,Midnights (3am Edition),2022,Pop,0:03:24,78
37,Moments,Tove Lo,Queen of the Clouds (Blueprint Edition),2014,Alternative,0:03:22,21
38,Always Get This Way,The Aces,I've Loved You For So Long,2023,Alternative,0:02:54,23
39,All Hands On Deck,Tinashe,Aquarius,2014,R&B/Soul,0:03:41,23
40,King of My Heart,Taylor Swift,reputation,2017,Pop,0:03:34,128
41,"I am not a woman, I'm a god",Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:02:56,22
42,Frankenstein,Rina Sawayama,Hold The Girl,2022,Alternative,0:03:12,28
43,Move Me,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:27,20
44,Good Ones,Charli XCX,CRASH (Deluxe),2021,Pop,0:02:16,21
45,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,Red (Taylor's Version) [Video Deluxe],2021,Pop,0:04:44,28
46,Girls Make Me Wanna Die,The Aces,I've Loved You For So Long,2022,Alternative,0:02:15,21
47,Cát Bụi,Hồng Nhung & Quang Dũng,Có Đâu Bao Giờ,2009,Asia,0:04:58,
48,Grapefruit,Tove Lo,Dirt Femme,2022,Pop,0:03:51,122
49,Sun Bleached Flies,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:07:36,18
50,THIQUE,Beyoncé,RENAISSANCE,2022,Pop,0:04:04,42
51,I Wish you Roses,Kali Uchis,Red Moon In Venus,2023,R&B/Soul,0:03:39,18
52,Anti-Hero,Taylor Swift,Midnights (3am Edition),2022,Pop,0:03:20,109
53,Midnight Rain,Taylor Swift,Midnights (3am Edition),2022,Pop,0:02:54,87
54,The Blackest Day,Lana Del Rey,Honeymoon,2015,Alternative,0:06:05,137
55,Butterflies,Kacey Musgraves,Golden Hour,2018,Country,0:03:39,68
56,Ngày Chưa Giông Bão,Bùi Lan Hương,Ngày Chưa Giông Bão (OST Người Bất Tử) - Single,2018,Pop,0:03:32,26
57,Call on Me,Tove Lo & SG Lewis,Dirt Femme,2022,Pop,0:03:16,21
58,Boy's a liar Pt. 2,PinkPantheress & Ice Spice,Boy's a liar Pt. 2 - Single,2023,Pop,0:02:11,18
59,Guns and Roses,Lana Del Rey,Ultraviolence (Deluxe),2014,Alternative,0:04:30,46
60,YÊU (Acoustic Version),MIN,YÊU - EP,2015,Pop,0:04:18,33
61,Eyes Open (Taylor's Version),Taylor Swift,Eyes Open (Taylor's Version) - Single,2023,Pop,0:04:03,14
62,Roses (feat. ROZES),The Chainsmokers,Bouquet - EP,2015,Dance,0:03:45,15
63,Break the Ice,Britney Spears,Blackout,2007,Pop,0:03:16,234
64,Anxious (Bonus Track),Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:02:57,130
65,Heat Lightning,Mitski,Laurel Hell,2021,Alternative,0:02:51,82
66,brutal,Olivia Rodrigo,SOUR,2021,Pop,0:02:23,128
67,Green Light,Lorde,Melodrama,2017,Alternative,0:03:54,143
68,All the Time,Zara Larsson,All the Time - Single,2019,Pop,0:03:48,80
69,CHURCH GIRL,Beyoncé,RENAISSANCE,2022,Pop,0:03:44,20
70,Vigilante Shit,Taylor Swift,Midnights (3am Edition),2022,Pop,0:02:44,50
71,Lightning,Charli XCX,CRASH (Deluxe),2022,Pop,0:03:57,13
72,Dear Reader,Taylor Swift,Midnights (3am Edition),2022,Pop,0:03:45,39
73,Your Age,Rina Sawayama,Hold The Girl,2022,Alternative,0:02:54,61
74,See Tình,Hoàng Thùy Linh,LINK,2022,Pop,0:03:05,21
75,Mirror Forever,Weyes Blood,Titanic Rising,2019,Alternative,0:05:05,19
76,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2022,Pop,0:04:45,167
77,People disappear here,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:04:07,12
78,Dream of You,Camila Cabello,Romance,2019,Pop,0:03:42,107
79,Tally,BLACKPINK,BORN PINK,2022,K-Pop,0:03:04,35
80,Bad Thing Twice,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:03:13,72
81,Lilith,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:02:47,13
82,Feel Something,Clairo,Immunity,2019,Alternative,0:02:56,49
83,A House In Nebraska,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:07:46,78
84,State Of Grace (Taylor's Version),Taylor Swift,Red (Taylor's Version) [Video Deluxe],2021,Pop,0:04:55,16
85,Missing U,Robyn,Honey,2018,Pop,0:04:57,11
86,Heaven,Bryan Adams,Reckless,1985,Rock,0:04:05,10
87,Bắt Vía (feat. Wren Evans & Mew Amazing),Hoàng Thùy Linh,LINK,2022,Pop,0:03:24,35
88,quý cô say xỉn (secret sunday),Phùng Khánh Linh,CITOPIA,2022,Pop,0:03:22,21
89,Flowers,Miley Cyrus,Endless Summer Vacation,2023,Pop,0:03:20,10
90,Last Words of a Shooting Star,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:44,33
91,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version) [Video Deluxe],2021,Pop,0:10:13,19
92,ghostin,Ariana Grande,"thank u, next",2019,Pop,0:04:31,114
93,Red (Taylor's Version),Taylor Swift,Red (Taylor's Version) [Video Deluxe],2021,Pop,0:03:43,20
94,Gimme More,Britney Spears,Blackout,2007,Pop,0:04:11,265
95,So Nice,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:03:39,104
96,Easier than Lying,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:03:26,12
97,Fever,Carly Rae Jepsen,E•MO•TION: Side B,2016,Pop,0:03:04,85
98,Smoke,Caroline Polachek,"Desire, I Want to Turn Into You",2023,Indie Pop,0:02:57,11
99,Love Me Like You,Little Mix,Get Weird (Deluxe Edition),2015,Pop,0:03:17,46
100,HEATED,Beyoncé,RENAISSANCE,2022,Pop,0:04:20,27
