Position,Name,Artist,Album,Genre,Time,Plays
66,7 rings,Ariana Grande,"thank u, next",Pop,0:02:58,79
67,Backseat (feat. Carly Rae Jepsen),Charli XCX,Pop 2,Pop,0:03:58,65
68,Perfect Places,Lorde,Melodrama,Alternative,0:03:41,120
69,Zillionaire,The Aces,Under My Influence,Alternative,0:03:13,27
70,Everytime,Britney Spears,In the Zone,Pop,0:03:50,126
71,"Sweeter Than Fiction (From ""One Chance"")",Taylor Swift,"Sweeter Than Fiction (From ""One Chance"") - Single",Country,0:03:54,100
72,Living Legend,Lana Del Rey,Blue Banisters,Alternative,0:04:01,69
73,Breathe On Me,Britney Spears,In the Zone,Pop,0:03:43,144
74,Dance Till We Die,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:03,55
75,Mr. Perfectly Fine (Taylor’s Version) [From The Vault],Taylor Swift,Fearless (Taylor's Version),Country,0:04:37,57
76,Hurricane,Halsey,Room 93 - EP,Alternative,0:03:43,27
77,Criminal,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:45,102
78,Cruel Summer,Taylor Swift,Lover,Pop,0:02:58,153
79,seven,Taylor Swift,folklore,Alternative,0:03:28,
80,Dealer,Lana Del Rey,Blue Banisters,Alternative,0:04:34,61
81,Daydream,The Aces,Under My Influence,Alternative,0:02:30,43
82,Cool for the Summer,Demi Lovato,Confident,Pop,0:03:34,57
83,this is me trying,Taylor Swift,folklore,Alternative,0:03:15,
84,the 1,Taylor Swift,folklore,Alternative,0:03:30,
85,happiness,Taylor Swift,evermore,Alternative,0:05:15,
86,my hair,Ariana Grande,Positions,Pop,0:02:38,73
87,Piece of Me,Britney Spears,Blackout,Pop,0:03:32,102
88,Hustler,Josef Salvat,Night Swim (Deluxe),Pop,0:03:54,34
89,False God,Taylor Swift,Lover,Pop,0:03:20,97
90,Now or Never,Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:34,66
91,Bad at Love,Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:01,108
92,test drive,Ariana Grande,Positions,Pop,0:02:02,65
93,Selfish,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:43,112
94,my tears ricochet,Taylor Swift,folklore,Alternative,0:04:15,
95,Sofia,Clairo,Immunity,Alternative,0:03:08,159
96,If You Lie Down With Me,Lana Del Rey,Blue Banisters,Alternative,0:04:25,53
97,Pretty When You Cry,Lana Del Rey,Ultraviolence (Deluxe),Alternative,0:03:54,127
98,Safe & Sound (feat. The Civil Wars),Taylor Swift,The Hunger Games (Songs from District 12 and Beyond),Soundtrack,0:04:00,43
99,Cruel,The Aces,Under My Influence,Alternative,0:03:15,70
100,thế giới không anh,Phùng Khánh Linh,yesteryear,Pop,0:04:19,20
