Position,Name,Artist,Album,Genre,Time,Plays
1,Yosemite,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:04,153
2,Let Me Love You Like a Woman,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:20,78
3,drivers license,Olivia Rodrigo,SOUR,Pop,0:04:02,111
4,positions,Ariana Grande,Positions,Pop,0:02:52,127
5,Blue Banisters,Lana Del Rey,Blue Banisters,Alternative,0:04:53,64
6,'tis the damn season,Taylor Swift,evermore,Alternative,0:03:49,
7,Wildflower Wildfire,Lana Del Rey,Blue Banisters,Alternative,0:04:47,63
8,Chemtrails Over the Country Club,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:31,74
9,Gimme More,Britney Spears,Blackout,Pop,0:04:11,215
10,Radar,Britney Spears,Blackout,Pop,0:03:49,115
11,For Free (feat. Zella Day & Weyes Blood),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:11,77
12,Text Book,Lana Del Rey,Blue Banisters,Alternative,0:05:03,59
13,Arcadia,Lana Del Rey,Blue Banisters,Alternative,0:04:23,100
14,deja vu,Olivia Rodrigo,SOUR,Pop,0:03:35,114
15,exile (feat. Bon Iver),Taylor Swift,folklore,Alternative,0:04:45,
16,motive,Ariana Grande & Doja Cat,Positions,Pop,0:02:47,71
17,willow,Taylor Swift,evermore,Alternative,0:03:34,
18,White Dress,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:33,68
19,I'm a Slave 4 U,Britney Spears,Britney (Deluxe Version),Pop,0:03:23,158
20,Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),Country,0:03:55,24
21,Kyoto,Phoebe Bridgers,Punisher,Alternative,0:03:04,124
22,Strangers (feat. Lauren Jauregui),Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:41,93
23,Solar Power,Lorde,Solar Power,Alternative,0:03:12,21
24,Dark But Just a Game,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:55,59
25,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:35,82
26,Confetti (feat. Saweetie),Little Mix,Confetti (feat. Saweetie) - Single,Pop,0:03:05,179
27,I Know the End,Phoebe Bridgers,Punisher,Alternative,0:05:44,64
28,Hold It Against Me,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:49,131
29,bad idea,Ariana Grande,"thank u, next",Pop,0:04:27,109
30,Freakshow,Britney Spears,Blackout,Pop,0:02:55,229
31,(I Got That) Boom Boom [feat. Ying Yang Twins],Britney Spears featuring Ying Yang Twins,In the Zone,Pop,0:04:49,95
32,Undo (Back To My Heart),Tinashe & Wax Motif,333,R&B/Soul,0:03:17,93
33,in my head,Ariana Grande,"thank u, next",Pop,0:03:42,110
34,nasty,Ariana Grande,Positions,Pop,0:03:20,78
35,cowboy like me,Taylor Swift,evermore,Alternative,0:04:35,
36,Going Home,The Aces,Under My Influence,Alternative,0:03:55,57
37,Break the Ice,Britney Spears,Blackout,Pop,0:03:16,192
38,Bags,Clairo,Immunity,Alternative,0:04:20,111
39,Thinking Bout You,Ariana Grande,Dangerous Woman,Pop,0:03:20,111
40,Don't Keep Me Waiting,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:21,108
41,Honeymoon,Lana Del Rey,Honeymoon,Alternative,0:05:50,58
42,gold rush,Taylor Swift,evermore,Alternative,0:03:05,
43,tolerate it,Taylor Swift,evermore,Alternative,0:04:05,
44,I Think He Knows,Taylor Swift,Lover,Pop,0:02:53,117
45,Doin' Time,Lana Del Rey,Norman F*****g Rockwell!,Pop,0:03:22,95
46,Not All Who Wander Are Lost,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:07,51
47,Nobody,Mitski,Be the Cowboy,Indie Rock,0:03:13,114
48,Rain On Me,Lady Gaga & Ariana Grande,Chromatica,Pop,0:03:02,104
49,Happier Than Ever,Billie Eilish,Happier Than Ever,Alternative,0:04:58,73
50,Breaking Up Slowly (feat. Nikki Lane),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:02:57,57
51,WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion) - Single,Hip-Hop/Rap,0:03:07,111
52,august,Taylor Swift,folklore,Alternative,0:04:21,
53,Wild at Heart,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:06,58
54,White Mustang,Lana Del Rey,Lust for Life,Alternative,0:02:44,149
55,34+35,Ariana Grande,Positions,Pop,0:02:53,81
56,brutal,Olivia Rodrigo,SOUR,Pop,0:02:23,91
57,IN A DREAM,Troye Sivan,In A Dream - EP,Pop,0:03:49,139
58,Gone,Charli XCX & Christine and the Queens,Charli,Pop,0:04:06,94
59,Chinese Satellite,Phoebe Bridgers,Punisher,Alternative,0:03:37,82
60,In My Feelings,Lana Del Rey,Lust for Life,Alternative,0:03:58,117
61,good 4 u,Olivia Rodrigo,SOUR,Pop,0:02:58,131
62,champagne problems,Taylor Swift,evermore,Alternative,0:04:04,
63,Shadow,Britney Spears,In the Zone,Pop,0:03:44,102
64,Toxic,Britney Spears,In the Zone,Pop,0:03:18,211
65,"thank u, next",Ariana Grande,"thank u, next",Pop,0:03:27,97
