Position,Name,Artist,Album,Genre,Time,Plays
1,Yosemite,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:04,175
2,Let Me Love You Like a Woman,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:20,87
3,positions,Ariana Grande,Positions,Pop,0:02:52,131
4,drivers license,Olivia Rodrigo,SOUR,Pop,0:04:02,111
5,Blue Banisters,Lana Del Rey,Blue Banisters,Alternative,0:04:53,65
6,For Free (feat. Zella Day & Weyes Blood),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:11,90
7,'tis the damn season,Taylor Swift,evermore,Alternative,0:03:49,
8,Kyoto,Phoebe Bridgers,Punisher,Alternative,0:03:04,138
9,Radar,Britney Spears,Blackout,Pop,0:03:49,118
10,Gimme More,Britney Spears,Blackout,Pop,0:04:11,222
11,Chemtrails Over the Country Club,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:31,76
12,motive,Ariana Grande & Doja Cat,Positions,Pop,0:02:47,77
13,Wildflower Wildfire,Lana Del Rey,Blue Banisters,Alternative,0:04:47,63
14,Strangers (feat. Lauren Jauregui),Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:41,100
15,nasty,Ariana Grande,Positions,Pop,0:03:20,88
16,I'm a Slave 4 U,Britney Spears,Britney (Deluxe Version),Pop,0:03:23,165
17,Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),Country,0:03:55,31
18,Going Home,The Aces,Under My Influence,Alternative,0:03:55,65
19,Bags,Clairo,Immunity,Alternative,0:04:20,121
20,Text Book,Lana Del Rey,Blue Banisters,Alternative,0:05:03,63
21,Freakshow,Britney Spears,Blackout,Pop,0:02:55,237
22,Thinking Bout You,Ariana Grande,Dangerous Woman,Pop,0:03:20,114
23,willow,Taylor Swift,evermore,Alternative,0:03:34,
24,deja vu,Olivia Rodrigo,SOUR,Pop,0:03:35,114
25,Arcadia,Lana Del Rey,Blue Banisters,Alternative,0:04:23,100
26,Chinese Satellite,Phoebe Bridgers,Punisher,Alternative,0:03:37,92
27,exile (feat. Bon Iver),Taylor Swift,folklore,Alternative,0:04:45,
28,Breathe On Me,Britney Spears,In the Zone,Pop,0:03:43,155
29,Mr. Perfectly Fine (Taylor’s Version) [From The Vault],Taylor Swift,Fearless (Taylor's Version),Country,0:04:37,64
30,Perfect Places,Lorde,Melodrama,Alternative,0:03:41,129
31,Solar Power,Lorde,Solar Power,Alternative,0:03:12,22
32,White Dress,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:33,68
33,Hustler,Josef Salvat,Night Swim (Deluxe),Pop,0:03:54,42
34,Doin' Time,Lana Del Rey,Norman F*****g Rockwell!,Pop,0:03:22,98
35,(I Got That) Boom Boom [feat. Ying Yang Twins],Britney Spears featuring Ying Yang Twins,In the Zone,Pop,0:04:49,96
36,Dark But Just a Game,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:55,59
37,Cruel,The Aces,Under My Influence,Alternative,0:03:15,93
38,in my head,Ariana Grande,"thank u, next",Pop,0:03:42,112
39,Confetti (feat. Saweetie),Little Mix,Confetti (feat. Saweetie) - Single,Pop,0:03:05,181
40,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:35,84
41,bad idea,Ariana Grande,"thank u, next",Pop,0:04:27,110
42,Hold It Against Me,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:49,131
43,Living Legend,Lana Del Rey,Blue Banisters,Alternative,0:04:01,76
44,Don't Keep Me Waiting,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:21,110
45,I Know the End,Phoebe Bridgers,Punisher,Alternative,0:05:44,65
46,Undo (Back To My Heart),Tinashe & Wax Motif,333,R&B/Soul,0:03:17,95
47,Sofia,Clairo,Immunity,Alternative,0:03:08,169
48,Break the Ice,Britney Spears,Blackout,Pop,0:03:16,193
49,34+35,Ariana Grande,Positions,Pop,0:02:53,83
50,gold rush,Taylor Swift,evermore,Alternative,0:03:05,
51,Not All Who Wander Are Lost,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:07,52
52,Honeymoon,Lana Del Rey,Honeymoon,Alternative,0:05:50,58
53,cowboy like me,Taylor Swift,evermore,Alternative,0:04:35,
54,Daydream,The Aces,Under My Influence,Alternative,0:02:30,45
55,Nobody,Mitski,Be the Cowboy,Indie Rock,0:03:13,115
56,my hair,Ariana Grande,Positions,Pop,0:02:38,77
57,Rain On Me,Lady Gaga & Ariana Grande,Chromatica,Pop,0:03:02,105
58,IN A DREAM,Troye Sivan,In A Dream - EP,Pop,0:03:49,142
59,Happier Than Ever,Billie Eilish,Happier Than Ever,Alternative,0:04:58,78
60,I Think He Knows,Taylor Swift,Lover,Pop,0:02:53,117
61,tolerate it,Taylor Swift,evermore,Alternative,0:04:05,
62,"thank u, next",Ariana Grande,"thank u, next",Pop,0:03:27,100
63,WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion) - Single,Hip-Hop/Rap,0:03:07,112
64,Now or Never,Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:34,74
65,In My Feelings,Lana Del Rey,Lust for Life,Alternative,0:03:58,118
66,White Mustang,Lana Del Rey,Lust for Life,Alternative,0:02:44,152
67,brutal,Olivia Rodrigo,SOUR,Pop,0:02:23,93
